Sample_type	Patient_ID	Sample_ID	Count
NCO	17	23561	85
NCO	17	23564	87
NCO	17	23567	107
NCO	17	24933	92
NCO	55	23611	42
NCO	55	23614	36
NCO	55	23617	47
NCO	55	24702	43
NCO	59	23638	31
NCO	59	23641	26
NCO	59	23644	45
NCO	59	23647	63
NCO	88	23692	54
NCO	88	23695	67
NCO	88	23698	56
NCO	88	23701	63
NCO	126	24346	69
NCO	126	24349	55
NCO	126	24352	61
NCO	126	24355	52
NCO	130	24295	42
NCO	130	24298	40
NCO	130	24301	31
NCO	130	24304	38
NCO	170	23788	44
NCO	170	23791	65
NCO	170	23794	35
NCO	170	23797	41
NCO	184	24325	35
NCO	184	24328	46
NCO	184	24331	45
NCO	184	24334	39
NCO	222	24370	56
NCO	222	24373	37
NCO	222	24376	54
NCO	222	24379	56
NCO	303	23599	165
NCO	303	23602	178
NCO	303	23605	96
NCO	303	24660	111
NCO	360	24409	96
NCO	360	24412	70
NCO	360	24810	79
NCO	360	24813	184
NCO	381	23836	27
NCO	381	23839	35
NCO	381	23842	35
NCO	381	23845	46
NCO	385	24421	69
NCO	385	24424	61
NCO	385	24816	75
NCO	385	24819	70
NCO	433	23890	32
NCO	433	23896	48
NCO	433	23899	138
NCO	433	24678	179
NCO	478	23938	113
NCO	478	23941	88
NCO	478	23944	100
NCO	478	23947	68
NCO	483	23824	20
NCO	483	23827	45
NCO	483	23830	27
NCO	483	23833	28
NCO	515	23683	32
NCO	515	23686	23
NCO	515	23689	43
NCO	515	24723	31
NCO	541	24223	36
NCO	541	24226	30
NCO	541	24229	42
NCO	541	24232	43
NCO	572	23776	83
NCO	572	23779	93
NCO	572	23785	71
NCO	572	24741	46
NCO	575	24541	56
NCO	575	25141	36
NCO	575	25147	55
NCO	575	25150	36
NCO	609	23992	34
NCO	609	23998	45
NCO	609	24768	40
NCO	609	24915	49
NCO	611	24559	28
NCO	611	24565	60
NCO	611	24837	44
NCO	611	24843	32
NCO	619	24463	36
NCO	619	24466	26
NCO	619	24469	19
NCO	619	25183	37
NCO	631	23728	108
NCO	631	23731	141
NCO	631	24729	148
NCO	631	24732	161
NCO	635	24037	66
NCO	635	24040	49
NCO	635	24043	56
NCO	635	24783	54
NCO	639	24235	32
NCO	639	24238	36
NCO	639	24241	35
NCO	639	24244	30
NCO	652	23878	50
NCO	652	23884	65
NCO	652	23887	57
NCO	652	25111	46
NCO	729	23752	51
NCO	729	23755	45
