Sample,Donor,Clone,ECB_sample,Day,total_nr_win,total_nr_win_up,total_nr_win_down,fraction_win_up,fraction_win_down,fraction_total_win_altered
D3C2_143d,D3,C2,NO,143,49559,146,1179,0.0029459835751326703,0.023789826267680947,0.026735809842813617
D1C3_835d,D1,C3,NO,835,49559,2557,3547,0.05159506850420711,0.07157125849996973,0.12316632700417685
D2C2_260d,D2,C2,NO,260,49559,2743,2404,0.05534817086704736,0.04850783914122561,0.10385601000827296
D2C2_428d,D2,C2,NO,428,49559,2209,5895,0.04457313505115115,0.11894913133840473,0.1635222663895559
D1C3_702d,D1,C3,NO,702,49559,3710,2523,0.07486026755987812,0.05090901753465566,0.12576928509453378
D3C2_190d,D3,C2,NO,190,49559,778,1893,0.015698460420912448,0.038196896628261263,0.05389535704917371
D3C2_55d,D3,C2,NO,55,49559,0,0,0.0,0.0,0.0
D3C1_264d,D3,C1,NO,264,49559,213,2496,0.004297907544542868,0.05036421235295305,0.05466211989749591
D2C2_609d,D2,C2,NO,609,49559,1272,5909,0.025666377449101073,0.11923162291410239,0.14489800036320347
D3C2_610d,D3,C2,NO,610,49559,1257,3537,0.025363707903710727,0.07136947880304284,0.09673318670675357
D1C1_55d,D1,C1,NO,55,49559,21,2298,0.00042373736354647996,0.046368974353800524,0.046792711717347
D2C3_101d,D2,C3,NO,101,49559,0,0,0.0,0.0,0.0
D1C2_675d,D1,C2,NO,675,49559,4456,1121,0.08991303295062451,0.022619504025504954,0.11253253697612946
D1C1_101d,D1,C1,NO,101,49559,0,5607,0.0,0.11313787606691014,0.11313787606691014
D2WT_P13,D2,WT,NO,P13,49559,0,0,0.0,0.0,0.0
D1C1_442d,D1,C1,NO,442,49559,707,10331,0.014265824572731492,0.20845860489517545,0.22272442946790694
D1C1_296dMid,D1,C1,NO,296dMi,49559,170,7624,0.003430254847757219,0.1538368409370649,0.15726709578482212
D1C1_260d,D1,C1,NO,260,49559,2456,7792,0.049557093565245465,0.15722673984543675,0.2067838334106822
D2C1_143d,D2,C1,NO,143,49559,0,0,0.0,0.0,0.0
D1C2_382d,D1,C2,NO,382,49559,597,412,0.012046247906535645,0.008313323513388083,0.020359571419923728
