Donor,Culture,Passage,Viability,Total viable cells,Cells per well,Cells seeded,Growth_fold_change,Date,Thaw date,Days_final
1,1,0,Na,Na,Na,Na,Na,2017-02-14,Na,0
1,1,4,Na,Na,Na,Na,Na,2017-04-28,Na,73
1,1,5,89%,1241500,20000,500000,Na,2017-05-12,Na,87
1,1,6,Na,1600000,20000,500000,3.2,2017-05-26,Na,101
1,1,7,89%,3070500,20000,500000,6.141,2017-06-09,Na,115
1,1,8,89%,4272000,20000,500000,8.544,2017-06-23,Na,129
1,1,9,87%,3393000,20000,500000,6.786,2017-07-07,Na,143
1,1,10,92%,10120000,20000,500000,20.24,2017-07-21,Na,157
1,1,11,96%,8640000,20000,500000,17.28,2017-08-06,Na,173
1,1,12,93%,11439000,20000,500000,22.878,2017-08-23,Na,190
1,1,13,Na,Na,Na,Na,Na,2019-03-20,8.23.17,190
1,1,14,50%,100000,10000,125000,Na,2019-04-02,8.23.17,204
1,1,15,51%,255000,10000,125000,2,2019-04-16,8.23.17,218
1,1,16,89%,1847640,10000,125000,15,2019-04-30,8.23.17,232
1,1,17,78%,2279160,10000,125000,18,2019-05-14,8.23.17,246
1,1,18,34%,170000,10000,125000,1,2019-05-24,8.23.17,256
1,1,19,86%,4472000,10000,125000,36,2019-06-07,8.23.17,270
1,1,20,86%,3440000,10000,125000,28,2019-06-20,8.23.17,283
1,1,21,89%,5874000,10000,125000,47,2019-07-03,8.23.17,296
1,1,22,96%,2208000,10000,125000,18,2019-07-17,8.23.17,310
1,1,23,95%,4180000,10000,125000,33,2019-07-30,8.23.17,323
1,1,24,Na,Na,10000,125000,Na,2019-08-14,8.23.17,338
1,1,25,Na,Na,10000,125000,Na,2019-08-27,8.23.17,351
1,1,26,71%,5538000,10000,125000,44,2019-09-10,8.23.17,365
1,1,27,83%,3486000,10000,125000,28,2019-09-24,8.23.17,379
1,1,28,70%,2310000,10000,125000,18,2019-10-08,8.23.17,393
1,1,29,41%,1968000,10000,125000,16,2019-10-22,8.23.17,407
1,1,30,96%,2194560,10000,125000,18,2019-11-05,8.23.17,421
