p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MUC6	0	-2.55808843861206	0.001	0.576	0
RGS5	3.87915044417059e-252	-1.55070287908682	0.029	0.646	7.19698781906969e-248
STC1	3.03744992553662e-251	-0.800217334146218	0.009	0.531	5.6353808468481e-247
EPB41L2	1.02338098034521e-223	-1.24284492587668	0.086	0.788	1.89867873283448e-219
BEX3	5.28631015169155e-218	-1.45807188621603	0.081	0.767	9.80769122443333e-214
SNCA	6.44979637076612e-193	-0.70290846642156	0.002	0.378	1.19663072066824e-188
LDB2	1.23411602427205e-183	-0.622647949978602	0.001	0.354	2.28965545983194e-179
UPK1B	2.20215270172043e-183	-0.981391076766089	0.03	0.528	4.08565390750192e-179
PIGR	2.46280336738617e-180	-2.31198145416899	0.186	0.903	4.56923908751156e-176
HLA-DQA2	2.32798545498689e-178	-1.46925237821635	0.01	0.41	4.31911141463717e-174
NDUFA4L2	1.4179526829328e-177	-1.95880060685801	0.045	0.569	2.63072761264522e-173
HLA-DQB1	1.93409230184069e-177	-1.01222596878332	0.024	0.483	3.58832144760503e-173
TPM2	9.56254933948839e-176	-0.938476521072999	0.035	0.535	1.77413977895528e-171
REG1A	5.406917076983e-169	-4.81388234751705	0.065	0.604	1.00314532529266e-164
MAOB	1.04361398019655e-160	-0.606239638059424	0.024	0.458	1.93621701745866e-156
CDCA7L	2.59871111279964e-160	-0.600562831352029	0.02	0.438	4.82138872757716e-156
SERPINA5	6.01529701602387e-159	-0.736042598899953	0.028	0.469	1.11601805538291e-154
HLA-DQA1	4.88535616118685e-158	-0.800217334146218	0.007	0.351	9.06380128584997e-154
RNASE1	6.08686766430349e-158	-1.70417626698573	0.21	0.892	1.12929655775823e-153
HLA-DRA	5.58094015582028e-157	-2.42255141037575	0.158	0.781	1.03543182710934e-152
ANXA10	5.35613907830465e-155	-2.41417560076142	0.305	0.92	9.93724483197861e-151
SH3BGRL	1.55846159093916e-150	-0.863931099421007	0.095	0.674	2.89141378966943e-146
UCP2	7.67563800072672e-149	-0.905228254562895	0.106	0.701	1.42406111827483e-144
LAMB1	7.31986559747076e-148	-0.817223759451908	0.083	0.635	1.35805466429875e-143
QPCT	2.37070522583575e-146	-0.656654741992451	0.037	0.486	4.39836940549306e-142
AL049839.2	2.53676248355949e-145	-0.445380941557472	0.004	0.309	4.70645543574793e-141
FUT9	9.17439567708983e-145	-0.871292611980629	0.044	0.507	1.70212562997048e-140
HLA-DRB1	3.06984564481246e-143	-1.52525826514271	0.068	0.576	5.69548462482056e-139
CD74	8.68797740506317e-142	-2.69110283768113	0.318	0.913	1.61188044796137e-137
CA2	1.04726679982031e-141	-1.32951253897263	0.131	0.726	1.94299409370662e-137
TM4SF1	3.26739415816683e-139	2.3641389906897	0.99	0.708	6.06199638164692e-135
FYN	2.18974209182475e-137	-0.441104476310477	0.007	0.316	4.06262850296246e-133
LRP8	3.61969096520178e-137	-1.03623143179411	0.026	0.413	6.71561264773887e-133
ZFAS1	5.89699378940965e-137	1.5449707635763	1	0.976	1.09406925774917e-132
AREG	1.80349340110169e-132	3.7449248864499	0.912	0.149	3.34602130706397e-128
SLIT3	3.8853206033065e-132	-0.391832558213506	0.003	0.274	7.20843531531455e-128
CEMIP	2.25649941527845e-130	-0.599961081586939	0.019	0.372	4.18648336516611e-126
CLDN4	1.06061466305786e-128	1.98605844537152	0.999	0.868	1.96775838437124e-124
JUND	1.42737556070572e-128	1.58483526345767	0.999	0.931	2.64820987777732e-124
CLDN2	2.63435311204691e-127	-1.41335738389082	0.124	0.653	4.88751532878062e-123
ADAMTS6	5.95532657195891e-127	-0.426955467087287	0.005	0.278	1.10489173889554e-122
RPS12	1.87684292267908e-125	-1.18162520068336	1	1	3.48210667444649e-121
LYZ	6.98799653223465e-125	-2.43225106558548	1	1	1.2964829966255e-120
SERPINA1	1.25535100371811e-123	-3.57121371874408	0.495	0.944	2.3290527171982e-119
RPS6	2.30287673575025e-123	-1.00513703658611	1	1	4.27252720783744e-119
IER2	5.07636996360372e-123	1.77326099441126	0.993	0.649	9.41818919347398e-119
KLF6	2.14623626628969e-122	2.04477532398775	0.964	0.403	3.98191214484727e-118
RPS11	1.52471461697186e-121	1.11896640651736	1	1	2.82880302886789e-117
REC8	1.94993440526649e-121	-0.506420313747517	0.021	0.365	3.61771330209092e-117
LDHB	8.50404629197683e-121	-1.57340846050013	0.671	0.979	1.57775570855046e-116
ALDH3A1	1.00200755648582e-120	-3.29763119421089	0.752	0.986	1.85902461954815e-116
RPS27	9.1821932337094e-120	0.840193081600134	1	1	1.70357231065011e-115
RHOB	2.48873569135645e-118	1.79924366434633	0.968	0.472	4.61735132817363e-114
ATF3	6.22536054143362e-118	2.20720717195508	0.862	0.083	1.15499114125218e-113
EIF1	7.76731730805001e-118	1.31941159591378	1	1	1.44107038016252e-113
MYEF2	2.80904352881873e-117	-0.412951564796716	0.014	0.319	5.21161845901738e-113
CXCR4	5.66473462501049e-115	-0.94339873004907	0.056	0.476	1.0509782149782e-110
ZNF503	8.02751029786041e-115	-0.77904281254081	0.043	0.438	1.48934398556204e-110
CAPN6	2.65433455766897e-114	-0.495763267408198	0.026	0.372	4.92458690484324e-110
REG4	2.0772446377977e-113	-3.15483061294218	0.043	0.424	3.85391197650607e-109
PFN2	1.30566976274301e-111	-0.617431263611777	0.056	0.476	2.4224091108171e-107
RPL28	8.67821717176504e-111	0.700170221890043	1	1	1.61006963187757e-106
UBC	1.05880236800106e-110	1.11119513861764	1	1	1.96439603335236e-106
ST6GALNAC3	4.35712501085989e-110	-0.37808351817199	0.007	0.264	8.08377403264836e-106
EDN1	6.7366368409945e-109	2.21950378398367	0.848	0.167	1.24984823310971e-104
CADM1	4.35873969173462e-108	-0.508937612544728	0.026	0.358	8.08676975007524e-104
LCN2	2.21840016340193e-107	-3.74544772173359	0.95	1	4.1157978231596e-103
FAM19A5	4.91511343035867e-106	-0.317018876910387	0.003	0.226	9.11900994734444e-102
LGALS4	1.13365126926083e-105	1.58976161419715	0.997	0.691	2.10326319985962e-101
LGR5	7.51668895720787e-105	-0.404111813181114	0.009	0.267	1.39457130223078e-100
TESC	7.0302671667848e-104	-1.71312853829755	0.767	0.979	1.30432546745358e-99
HSP90B1	1.26952253502049e-103	-1.23107468456377	0.875	1	2.35534515922352e-99
SEC11C	3.49998025830778e-103	-0.985966047647942	0.23	0.771	6.49351337323842e-99
RAB34	1.18672190892746e-102	-0.468747583056718	0.031	0.368	2.20172515763311e-98
CLDN10	2.36687016697985e-102	-0.302124950822958	0.002	0.212	4.39125422079771e-98
CXCL17	1.46877787696468e-101	-1.34370377876239	0.211	0.764	2.72502359513257e-97
HLA-DMB	1.67807881354693e-101	-0.429712100548182	0.026	0.347	3.11333962277362e-97
ATP5ME	5.41486587682146e-101	-1.09525109546533	0.794	0.983	1.00462006612669e-96
VIM	6.04715305787048e-101	-0.535576804683153	0.02	0.312	1.12192830682671e-96
MUC5AC	1.67373866443401e-100	-2.88244597610138	0.185	0.694	3.10528734412441e-96
AKR1B1	4.44963842591989e-100	-0.567825951046397	0.055	0.444	8.25541417160916e-96
PSIP1	8.97664726313994e-100	-0.68905522308835	0.092	0.545	1.66543736673035e-95
SLC9A3	9.40292777375286e-100	-1.22448390813903	0.162	0.656	1.74452518986437e-95
HLA-DPB1	4.3501215642964e-99	-1.29063426522234	0.072	0.479	8.07078053823911e-95
F5	7.46964833404085e-99	-0.661966018777024	0.098	0.559	1.3858438554146e-94
RPS16	1.34609805350182e-98	0.804466479712857	1	0.997	2.49741571866193e-94
HNRNPF	2.74483962231665e-98	1.14103931070158	0.986	0.847	5.09250095128408e-94
UBA52	3.20545927945208e-98	0.726485696613149	1	1	5.94708860116745e-94
NDUFA13	4.18598502368952e-98	-0.983775468795191	0.885	0.997	7.76625801445117e-94
SLPI	9.42911051264424e-98	2.01148647215045	0.951	0.521	1.74938287341089e-93
MIA	3.16194044952152e-97	-1.61255766276642	0.221	0.712	5.86634811599728e-93
RND3	3.28036022248685e-96	1.61485561652431	0.818	0.163	6.08605232077985e-92
GDF15	2.06526682144928e-95	2.555002791651	0.88	0.309	3.83168953383485e-91
IFI27	4.34682922106215e-95	-1.59002559796268	0.648	0.979	8.0646722538366e-91
LMAN1	6.48444147167742e-95	-1.20895051895082	0.542	0.934	1.20305842624031e-90
HIST1H4C	2.40522182083847e-94	-1.4335090793132	0.477	0.917	4.46240804420161e-90
