D1C1_Parent	D1C1_R1_T1	D1C1_R1_T2	D1C1_R1_T3	D1C1_R1_T4	D1C1_R1_T5	D1C1_R1_T6	D1C1_R1_T8	D1C1_R1_T9	D1C1_R1_T10	D1C1_R1_T13	D1C1_R2_T1	D1C1_R2_T2	D1C1_R2_T3	D1C1_R2_T4	D1C1_R2_T5	D1C1_R2_T6	D1C1_R2_T8	D1C1_R2_T9	D1C1_R2_T10	D1C1_R2_T13	D1C1_R3_T1	D1C1_R3_T2	D1C1_R3_T3	D1C1_R3_T4	D1C1_R3_T5	D1C1_R3_T6	D1C1_R3_T8	D1C1_R3_T9	D1C1_R3_T10
RG0	0.163574197699137	0.346640303107292	0.440737206051017	0.445033569056819	0.442628395431139	0.478522917401449	0.487760311527291	0.492936402485007	0.487048093456467	0.505726575979802	0.515289078295558	0.338472773456104	0.432163225961925	0.422147230467775	0.426085141554723	0.419357388029894	0.418729380449231	0.451873459009366	0.462770843868852	0.508703804362746	0.508830402558933	0.346341577806588	0.415212175470009	0.423334885182115	0.382354746297261	0.36429080401175	0.325675357401158	0.455943239092345	0.483944668426793	0.500266054602077
RG1	0.143858671680943	0.327480696793293	0.405436120250144	0.427692317888695	0.428917425558614	0.447331066583039	0.462114660797312	0.468036054153051	0.488732141056699	0.482050358588578	0.459451653160542	0.33786315288141	0.42139930918146	0.455489945145685	0.431368292744016	0.44264101857607	0.425226659868664	0.467324760870009	0.479156879232286	0.453789263889575	0.481960405485031	0.313088980680261	0.416159952253059	0.430986256675788	0.385942161833621	0.36113919736831	0.314101374996613	0.44724956196327	0.473901921049513	0.489075080775512
RG2	0.00367116691373255	0.00210153652420771	0.0087525428836929	0.016758017801873	0.0479883945538373	0.0265737959264517	0.0155496659416798	0.00100908535928466	0.000226174677701084	4.22625533564736e-05	0	0.00191141451023972	0.00582848610566405	0.011273544077274	0.0418761531846682	0.0568260701477841	0.0631701095350265	0.0227936189661782	0.0105001092202868	0.003471364332658	0	0.00243883646060509	0.00863025962399284	0.0181774482307031	0.0989627775940954	0.156817074441569	0.158372639297349	0.0167989789958684	0.000785372923015224	3.5029132561914e-05
RG3	0.00307091288357393	0.000831225353201736	0.0022749914190756	0.00345300663427954	0.00598444983010116	0.00129263838962275	0.000614719404034747	4.3092613207886e-05	5.44999223376107e-06	0	0	0.00111763772027306	0.00422193136231117	0.00881492377215015	0.0211576513020029	0.00647610015741708	0.00422116242536405	0.000233629490846487	6.88237423957246e-05	1.23536097247616e-05	0	0.00110216647738884	0.00426618919725455	0.00762298401595755	0.038588474734656	0.0578977459957134	0.111878703497206	0.052047416124078	0.0078233472988944	0.00153294156306662
RG4	0.15248773790455	0.102353941830795	0.0194410260274087	0.00574617418794695	0.000488782289788367	5.73347672816544e-05	8.46541552166495e-06	0	0	0	8.1745205643689e-06	0.100666772503572	0.0152197436127636	0.00388706277181561	0.00036400978485018	5.55338404000145e-05	0	0	0	0	0	0.102122926737755	0.0171363772008356	0.00740723918531724	0.000609781448785288	0.000171803400580752	7.50339215853834e-05	0	0	0
RG5	0.0294721412487274	0.0254034618740956	0.0322056742932248	0.0285254137311692	0.0216427158122637	0.00460241813724553	0.00222835783962596	0.000258555679247316	3.40624514610067e-05	7.35000927938671e-06	0	0.0247086839180822	0.0276587299712238	0.0255075218912791	0.0213947585930521	0.0137296740804344	0.0172885570080401	0.00290562502693544	0.00160987710473477	0.000635524589173846	0	0.0212728180286295	0.0295625186511489	0.0210729709577178	0.0280539062639205	0.0162480953762354	0.0106193841799313	0.000551601808388674	0.000192925263487299	1.83485932467169e-05
RG6	0.13930536348532	0.0339946315545295	0.0124109467480389	0.00740971481213921	0.00326011520849228	0.00101465163916625	0.000751468424000104	0.000405788774374259	0.000287487090330896	0.000134137669348808	0.00234608740197387	0.0280488966502619	0.011831803168693	0.00742896286580606	0.00833048081017224	0.00849454166426376	0.0174160195597079	0.0165105734356464	0.01524296277234	0.0129012864225593	0	0.0352023262747778	0.00970695314831394	0.00523086589377027	0.00583449977133196	0.00897320711885697	0.00929170062298998	0.000958272945553657	3.49392209465187e-05	5.00416179455914e-06
RG7	0.0025867300747167	0.00571916181555082	0.00725611338540489	0.00627638633908393	0.0135684083713367	0.0148062692961897	0.00787153406352969	0.0158652637627033	0.00896932471871228	0.000332587919892249	0.000806552695684398	0.00608985553262423	0.0058095854616246	0.00654216029354758	0.0114529500655385	0.0118991932641723	0.00594273455178704	0.00951529819515548	0.00630784560739945	0.000329429592660309	0.000787641444770903	0.00582908714485282	0.00619755296926291	0.0083156384722238	0.0120352643739148	0.00371771293059988	0.00614757088100245	0.00778948279218672	0.0113947433182538	0.000270224736906194
RG8	0.0238045493286109	0.00810789912624684	0.00331935270529338	0.00131890272595322	0.000357187057922268	5.03850985202418e-05	1.95355742807653e-06	3.59105110065716e-06	2.72499611688053e-06	1.83750231984668e-06	0.014537022403636	0.00924273694237181	0.00446763973482396	0.00227807367364603	0.00326773921537524	0.00639279939681706	0.0193941721472805	0.0114637227838655	0.0132410895696122	0.0116563170869639	2.00417670425166e-06	0.00997979919799801	0.00401313040883318	0.00196441345793544	0.000999803998820033	0.0014025916965445	0.00192482851622504	4.97523199723117e-05	1.51909656289212e-06	0
RG9	0.0322280036744832	0.0212141965557998	0.00354747971971771	0.00353253845695009	0.000343087568793757	2.0849006284238e-05	0	0	0	0	0	0.0217082076520083	0.00551190031800334	0.00262589144899292	0.000192023510356746	4.4854255707704e-05	6.62143125547303e-05	0	0	0	0	0.0230181941220021	0.00630737093404954	0.00284442526712617	0.000186102130473432	0.000247847528706658	2.39691693953308e-05	0	0	0
