D1C1_Parent	D1C1_R1_T1	D1C1_R1_T2	D1C1_R1_T3	D1C1_R1_T4	D1C1_R1_T5	D1C1_R1_T6	D1C1_R1_T8	D1C1_R1_T9	D1C1_R1_T10	D1C1_R1_T13	D1C1_R2_T1	D1C1_R2_T2	D1C1_R2_T3	D1C1_R2_T4	D1C1_R2_T5	D1C1_R2_T6	D1C1_R2_T8	D1C1_R2_T9	D1C1_R2_T10	D1C1_R2_T13	D1C1_R3_T1	D1C1_R3_T2	D1C1_R3_T3	D1C1_R3_T4	D1C1_R3_T5	D1C1_R3_T6	D1C1_R3_T8	D1C1_R3_T9	D1C1_R3_T10
RG0	0.171757094155788	0.353873825109807	0.44509120114979	0.449210596735349	0.446485968843532	0.48230633987798	0.492370898190997	0.497398286782717	0.489766027788396	0.510182329126689	0.518275921606889	0.34504612396828	0.436724802731321	0.425827376472699	0.429201932263143	0.424180097653718	0.423159923315501	0.455100367110382	0.464829414469789	0.512174628072333	0.512009438147864	0.353407284598424	0.420153207279158	0.428126578983632	0.386858272621835	0.3661159340706	0.331554472914463	0.458752576399635	0.488052761798252	0.503555327954868
RG1	0.151055287231042	0.334314405408301	0.409441379747638	0.431706582820444	0.432655505794825	0.4508678719276	0.466482830248212	0.472272549389068	0.491459473086414	0.486297510121157	0.462114838069607	0.344424664185143	0.425847270469983	0.459460762388886	0.434523729429336	0.447731495484596	0.429725949940948	0.470662009443897	0.481288340792349	0.456885412419931	0.484971564554511	0.31947630198096	0.421112262621724	0.435864555740993	0.390487942165663	0.36294853759125	0.319771556127997	0.450005332358274	0.477924763881761	0.492290772937532
RG2	0.00385481922046989	0.00214539037083397	0.00883900830638514	0.0169153063955044	0.048406620670474	0.0267839005904891	0.0156966501893143	0.00101821923963301	0.000227436828050907	4.2634911690122e-05	0	0.00194853536170901	0.00589000704317826	0.0113718232680467	0.0421824750729981	0.0574795834593614	0.0638385075296015	0.0229563922210064	0.0105468174700262	0.00349504902604357	0	0.00248859110875622	0.00873295985737373	0.0183831973174504	0.100128400561677	0.157602742246389	0.16123159383418	0.0169024874907228	0.000792039770507625	3.52594507920784e-05
RG3	0.00322453712570471	0.00084857096139425	0.00229746581277873	0.00348541610917849	0.00603660521550049	0.00130285858380673	0.000620530079932688	4.34826721551462e-05	5.48040549520259e-06	0	0	0.00113934293575012	0.00426649476536666	0.00889176948891073	0.0213124184237792	0.00655057684829106	0.00426582621525861	0.000235297880263077	6.91298950728419e-05	1.24378968898348e-05	0	0.00112465175107252	0.00431695691981379	0.00770926796404893	0.039042985142793	0.0581878189687138	0.113898346084191	0.0523681111916406	0.00788975786869298	0.00154302072752
RG4	0.160116027620981	0.104489814329291	0.0196330818168368	0.0058001070377308	0.00049304210137072	5.77880823462662e-05	8.54543542280185e-06	0	0	0	8.2219036995826e-06	0.102621783460107	0.0153803913142093	0.003920948955351	0.000366672497544303	5.61724927623904e-05	0	0	0	0	0	0.104206334284786	0.017340300375167	0.00749108113487774	0.000616963697295175	0.000172664151242474	7.63884394584484e-05	0	0	0
RG5	0.0309465026308184	0.0259335690161651	0.0325238306596496	0.0287931495852288	0.0218313353539631	0.00463880697379573	0.00224942153975599	0.000260896032930877	3.42525343450162e-05	7.41476725045601e-06	0	0.0251885418352484	0.0279506738769712	0.0257298883975799	0.0215512601423631	0.0138875685952556	0.0174714858792788	0.00292637460793205	0.00161703841518213	0.000639860695554834	0	0.0217068043140137	0.0299143131158669	0.0213114942352743	0.0283843363333527	0.0163294998117678	0.0108110860844665	0.000555000555000555	0.000194562961033788	1.84692361291839e-05
RG6	0.146274197086773	0.0347040150656585	0.0125335531460698	0.00747926143965748	0.00328852760561689	0.00102267394212786	0.000758571729070257	0.00040946182946096	0.000289091389871937	0.000135319502320822	0.00235968636178021	0.0285936235636834	0.0119566904224713	0.00749372621384706	0.00839141784517674	0.00859223091215486	0.0176002971022493	0.0166284783537372	0.0153107689348285	0.0129893103186175	0	0.0359204881467175	0.00982246605258136	0.00529007364762444	0.00590322083093793	0.00901816370259874	0.00945943508627119	0.00096417743476567	3.52358118407648e-05	5.03706439886834e-06
RG7	0.00271613278407093	0.00583850651510795	0.00732779574324182	0.00633529569173134	0.0136866591024737	0.0149233344774206	0.00794594026083298	0.0160088704651196	0.00901937734372966	0.000335518218083134	0.00081122783169215	0.00620812429195663	0.00587090689873342	0.00659919277731206	0.011536727801176	0.0120360368145876	0.00600561416187389	0.00958324861848162	0.00633590516580655	0.000331677250395594	0.000792562416811197	0.00594800622147777	0.00627130395290241	0.00840976252086172	0.0121770205060304	0.00373633901049289	0.0062585472828526	0.00783747842571372	0.0114914706355468	0.00027200147753889
RG8	0.0249953860564886	0.00827709083938046	0.00335214423097246	0.00133128177682633	0.000360299997155526	5.07834663042945e-05	1.97202355910812e-06	3.62355601292885e-06	2.7402027476013e-06	1.853691812614e-06	0.0146212854124244	0.00942223660786535	0.00451479664314961	0.00229793319924259	0.00329164255823028	0.00646631810914747	0.0195993803678313	0.0115455872509669	0.0132999906824924	0.0117358467098308	2.0166982616061e-06	0.0101833968584956	0.00406088672759205	0.00198664849719037	0.00101158008809761	0.00140961880850413	0.00195957566221881	5.00588735882853e-05	1.53199181916369e-06	0
RG9	0.0338402287123093	0.0216568841376433	0.00358252488745165	0.00356569440727857	0.000346077628846756	2.1013848125915e-05	0	0	0	0	0	0.0221297944651238	0.00557007962372715	0.00264878313991949	0.000193428152374289	4.53700903080845e-05	6.69149210236645e-05	0	0	0	0	0.0234877877860769	0.00638242875330053	0.00287662108986235	0.000188294115408268	0.000249089267366192	2.44018626047821e-05	0	0	0
RG10	0.00314792825230784	0.0016633118512379	0.0044025954811574	0.00398715547230399	0.0040391525996909	0.00119778934317715	0.000259649768615902	0	0	0	0	0.00178669687651724	0.00470579808759804	0.0048904732189009	0.00705424061789362	0.00418269023030722	0.00227510731480459	0.000315253470643734	2.10395332830388e-05	9.67391980320483e-06	0	0.00124429555437811	0.00513106687055652	0.00340486288680314	0.00669645987031744	0.00457701528785378	0.00229271413430149	1.30588365882484e-05	0	0
RG11	0.0201725092540037	0.0144031529626685	0.00505357935451145	0.00205378645972705	0.000779069730691555	0.000351981956109076	0.00015776188472865	3.98591161422173e-05	0	0	0	0.0153293413173653	0.00434050782509043	0.00150785127176408	5.0459518010684e-06	0	1.50558572303245e-05	0	0	0	0	0.0144563898336951	0.00484359184343965	0.00257039396120102	0.000316494364196876	0.000387786700331459	0.000310858510573964	1.08823638235403e-05	1.37879263724732e-05	0
RG12	0.0171673520839355	0.00979944405915752	0.0035529347113901	0.00157546160021408	0.000222817103504076	4.37788502623229e-05	2.23496003365587e-05	0	0	0	0	0.00901116685547823	0.00394179230980434	0.00220687290929592	0.000395266224417024	0.000183640841723199	0.000341266097220689	6.16800268650784e-05	9.01694283558807e-06	0	0	0.0096125249970089	0.00507792022688785	0.00311203319502075	0.000594929279534633	0.00140395768879127	0.00245503956815069	0.00180647239470769	0.00034929413476932	8.73091162470512e-05
RG13	0.0205137669627716	0.00575956968148988	0.00209456174835669	0.00383997859245384	0.000603660521550049	0.000113825010682039	3.28670593184687e-05	0	0	0	0	0.0107849166531801	0.0028387589681147	0.00238363700154535	0.000499549228305771	0.000520675798297541	0.000908370052896245	0.000612231377771889	0.000207389685218526	5.5279541732599e-06	0	0.010450031620148	0.00638484450983092	0.00561161213271884	3.40531910844739e-05	1.1322239425736e-05	0	0	0	0
RG14	0.021958888892758	0.0132247388036559	0.00388265381607592	0.00168584426010169	0.0002164960509224	5.42857743252804e-05	3.94404711821624e-06	0	0	0	0	0.0133613853374332	0.00217741646671203	0.00101237616470128	3.36396786737893e-06	0	0	0	0	0	0	0.0175090160151777	0.00281677211443922	0.00125170338840318	0.000146228408774506	7.92556759801521e-05	9.65464998710945e-05	1.74117821176645e-05	0	0
RG15	0.00186298851215121	0.0058977091403215	0.00454631919345634	0.00508763714209259	0.00298669734484186	0.00310304490659344	0.00309476230542701	0.00154363486150769	0.00138791269166006	0.00014829534500912	0.000153475535725542	0.00544424664185143	0.00652508684596927	0.00579036314307982	0.00221685482460272	0.00273516830143024	0.00260968191992291	0.00106226712934302	0.000910711226394395	0.000124378968898348	0.000203686524422216	0.00453279094809168	0.00511174081831337	0.00702408476366921	0.0021493572960965	0.000908609713915315	0.00276483712817662	0.00117964823847177	0.00193184168396541	9.57042235784985e-05
RG16	0.00049099323404359	0.00137011789779935	0.00111597235432122	0.00112389617340112	0.00338492365748744	0.00378774612469617	0.00224021876314682	0.00236255852042961	0.0019126615178257	0.000105660433318998	0.000101403478961519	0.00116847386308464	0.00133939762919457	0.00152124249087388	0.00271135810110742	0.0033379423583805	0.00182845021697163	0.00205371645006316	0.00150582945354321	7.46273813390087e-05	0.000181502843544549	0.00112807014545268	0.00138422849191567	0.00157324187349757	0.0029045368866169	0.000815201238652993	0.00198716037646769	0.00185653126829597	0.00242361105791695	6.3802815718999e-05
RG17	0.000727784297270287	0.00174506785748519	0.00145625937902902	0.00166242975648916	0.00368517365511705	0.00356710071937407	0.000844683424484644	0.0039315582740278	0.00229354969974228	3.1512760814438e-05	3.56282493648579e-05	0.00203916491341641	0.00141102317086273	0.00192565730799	0.00229759005341981	0.00328393034610897	0.000660784845108687	0.00225017875785564	0.00135855272056194	2.34938052363546e-05	4.63840600169403e-05	0.00157246141487343	0.00140597030068922	0.00235220713202983	0.00310084351757445	0.000455720136885875	0.000760701542940382	0.00201759025288437	0.0036829083332695	3.52594507920784e-05
RG18	0.0193681160833365	0.00652074629137841	0.00131676283473887	0.000341182766925341	2.05434208904467e-05	3.50230802098583e-06	0	0	0	0	0	0.00755138371904839	0.00127970967780444	0.000549039983502018	0.000245569654318662	4.75305707989457e-05	0	0	0	0	0	0.00653255166048507	0.00204856153777398	0.000652646567959456	0.000262409884239182	8.49167956930201e-05	3.18285164410202e-05	0	0	0
RG19	0.00112127532880877	0.000425695067011733	0.000410035296852873	0.000224110248862724	1.58026314541898e-06	5.25346203147874e-06	0	0	0	0	0	0.000220100339860819	0.000424978213897743	0.000910602899466762	0.000442361774560329	5.61724927623904e-05	0	0	0	0	0	0.00047515681884219	0.00235777837366439	0.00364793067017807	0.00392613261915111	0.00399958107714125	0.00681766822166652	0.00075088310382428	0	0
RG20	0.00441545688487427	0.0017648020658897	0.00326337370278782	0.00313085362590313	0.00118519735906423	0.000122580780734504	2.36642827092974e-05	0	0	0	0	0.00134973296649943	0.00241855579032816	0.00293535522886933	0.00230263600522088	0.000687032796093851	5.85505558957064e-05	0	0	0	0	0.00171603397884014	0.00508033598341825	0.00275987199706022	0.000969514381463847	0.000441567337603705	7.85103405545164e-05	0	0	0
RG21	0.00881002044064031	0.00638260683254678	0.0019212478599962	0.000916510569975916	0.000143803946233127	2.1013848125915e-05	6.57341186369373e-06	0	0	0	0	0.00810487133840427	0.00199596509448603	0.000897211680356956	5.0459518010684e-06	0	0	0	0	0	0	0.00853914916163878	0.0018842900937072	0.0017588920702485	7.81220266055579e-05	4.24583978465101e-05	9.76074504191285e-05	0	0	0
RG22	0.00824241833319985	0.00458397469510648	0.00259125398938981	0.00168918918918919	0.000161186840832735	1.05069240629575e-05	0	0	0	0	0	0.0039488590386794	0.00250450644032996	0.00153195546616173	0.000339760754605272	5.61724927623904e-05	0.000115428238765821	0	0	0	0	0.00416360435503444	0.00335065430765626	0.00153879132152317	4.20657066337619e-05	1.415279928217e-05	0	0	0	0
