D2C1_Parent1	D2C1_Parent2	D2C1_R1_T1	D2C1_R1_T2	D2C1_R1_T3	D2C1_R1_T4	D2C1_R1_T7	D2C1_R1_T8	D2C1_R1_T12	D2C1_R1_T13	D2C1_R1_T15	D2C1_R1_T17	D2C1_R1_T18	D2C1_R2_T1	D2C1_R2_T2	D2C1_R2_T3	D2C1_R2_T4	D2C1_R2_T6	D2C1_R2_T7	D2C1_R2_T8	D2C1_R2_T9_RESEQ	D2C1_R2_T12	D2C1_R2_T13	D2C1_R2_T14	D2C1_R2_T15	D2C1_R2_T17	D2C1_R2_T18	D2C1_R3_T1	D2C1_R3_T2	D2C1_R3_T3	D2C1_R3_T4	D2C1_R3_T6	D2C1_R3_T7	D2C1_R3_T8	D2C1_R3_T12	D2C1_R3_T13	D2C1_R3_T15	D2C1_R3_T17	D2C1_R3_T18
RG0	0.0255737883003313	0.08303129396555	0.252239726159359	0.273723826767515	0.312017398739707	0.52021321113253	0.717330806104096	0.839152289764935	0.962419410656379	0.959899019322264	0.981355382619974	0.993088793459805	0.989746696282336	0.24751160879705	0.239426821072397	0.282162451817977	0.470950740756111	0.343343910546993	0.239466604823748	0.329541611394315	0.209932986785245	0.0832539686581683	0.0767751142733045	0.063945755989052	0.0762513282058138	0.0242093371569364	0.00609538269179244	0.247086466165414	0.250664875835366	0.291123349175477	0.53432602715414	0.572156244287392	0.674507815519656	0.823248982176153	0.972615939430299	0.988253216951394	0.992854262940793	0.99409391556469	0.988357169991478
RG1	0.00741715299613149	0.0346674778508689	0.0652490832375362	0.0793264316794673	0.088187073628641	0.0797209321469977	0.0430632531618727	0.0186248763177277	0.00242633204732181	0.00271871055442276	0.0011348897535668	0.000691803917147513	0.000342952015564252	0.0694712541103664	0.0706645998183065	0.0844593565987298	0.0840229074158609	0.207970686007857	0.315987940630798	0.276273220178797	0.419991231915826	0.824639293917525	0.870648824174233	0.901843532560812	0.904749171410678	0.969899349271829	0.982093417879789	0.0572945146958305	0.0603157528771666	0.0635066898784474	0.0310622060520011	0.0414561070298775	0.0145712373914742	0.00624311848656752	0.000450787117878318	0.000143720836646897	0.000369072356790621	0.000338580536864744	0.000325123118991639
RG2	0.0300548591706549	0.0530849081714134	0.0562291681384103	0.07243086178197	0.104069000130119	0.082554143142326	0.128859893238527	0.0654567502622436	0.0244453274202438	0.00582580833090591	0.0011348897535668	5.29528924236368e-05	9.61547707189492e-06	0.0739762017928334	0.101457938622709	0.179821703679797	0.0977341577789766	0.382796917497733	0.360589053803339	0.321060426128598	0.330384543120185	0.0800848989819252	0.0395768268216509	0.0210014639718864	0.00966159778761373	0.000150797180348316	0.000245601500401893	0.0716379015721121	0.0913769689982141	0.107572998061218	0.0559730233383619	0.167513036365495	0.122725062445192	0.0752165421689832	0.0161646562790121	0.00221330088436222	0.000778463542474335	8.82216891830672e-05	0.000191651522774019
RG3	0.0284857299770062	0.0683645765998707	0.250393356924045	0.197963817422539	0.131620722345112	0.0888448319624617	0.00257086233843753	0.000817108947032989	2.56347812712288e-06	0	0	1.70815782011732e-06	3.20515902396497e-06	0.226324081862285	0.2159924080472	0.130321335273808	0.140403369714072	0.0108529767301299	0.00486549165120594	0.00265152860546891	0.00131521262604121	5.98418138945053e-05	1.03414755217274e-05	9.71514524142136e-05	7.03685199389201e-05	5.11176882536664e-06	0	0.216887388926863	0.181060176091808	0.146011583214543	0.140633596592422	0.0272067321247649	0.00541538001172016	0.00156194351397718	1.67578854229858e-06	0	1.24057935055671e-05	0	0
RG4	0.0233860600976481	0.0570592037720065	0.0358002967035084	0.0838602050054026	0.123899102180419	0.0546679380672425	0.0839614318289513	0.0290960220805404	0.00012432868916546	0	0	5.12447346035195e-06	0	0.0314140768875814	0.0856661364457638	0.113106728128558	0.0690459393285471	0.0410811423390752	0.0642254174397032	0.0138954306301743	0.0164871297050166	0.000457089599747391	1.03414755217274e-05	6.70010016649749e-06	4.92579639572441e-05	2.55588441268332e-06	0	0.0355434039644566	0.0848604429335956	0.126787652404615	0.0505031502351584	0.099922231069772	0.135550743731583	0.0196895666363279	0.000253044069887085	0	2.7913035387526e-05	0	0
RG5	0.0195024653433677	0.0471455188410206	0.103284289485007	0.0879340303127647	0.080688514229418	0.0939555878741313	0.00134302686315525	0.000215746520157421	0	0	0	0	0	0.131754823314871	0.0875708790522217	0.0663922397257354	0.0383533219902892	6.79963735267452e-05	4.63821892393321e-06	6.17711963999747e-06	0	0	0	6.70010016649749e-06	0	0	0	0.122934466848941	0.0829586751810394	0.0648765147696808	0.0678640518235868	0.031913146667245	0.0224927372397771	0.0187968612151502	0.000407216615778555	0	2.17101386347424e-05	0	0
RG6	0.0342884904373646	0.0632738887410168	0.0410857293319033	0.0337112694565313	0.0280684796549994	0.018837766085161	0.000264416594890215	9.91938023712278e-06	0	0	0	0	0	0.0408008857467114	0.0447580740485574	0.0317559873584986	0.0161970369755571	0.00157902689634331	0.000366419294990724	0.000120453832979951	0	0	0	1.67502504162437e-05	7.03685199389201e-06	0	0	0.0506173103212577	0.0502304407643918	0.0433056379271426	0.0344910817286361	0.0180045917750836	0.00405218381537004	0.0011243199959031	0	0	0	0	0
RG8	0.00781245285068529	0.0273455264458725	0.0371393157837275	0.0558581315889379	0.07034593007045	0.0244287272502761	0.00397410288161729	0.00155858261975792	0	0	0	0	0	0.0223778530065087	0.0393781893462748	0.0421139805505995	0.0257832925260406	0.00230054397098821	0.00204545454545455	0.000358272939119853	0.000563662554017661	0	0	6.70010016649749e-06	0	0	0	0.0322624743677375	0.0580395745983259	0.0747404908487658	0.038122282367557	0.0167528528184266	0.00706534613961955	0.00126515096847481	1.50820968806872e-05	0	0	0	0
RG10	0.0181355124112084	0.0565572835469029	0.0147581095747892	0.0113782378880355	0.00328642861126085	0.000624266829479114	0	0	0	0	0	0	0	0.0186627608082023	0.01563645082961	0.00457615043143082	0.000232394073951114	0	4.63821892393321e-06	1.54427990999937e-06	0	1.27323008286181e-06	0	0	0	0	0	0.0142878503075871	0.00991593592231279	0.00346939848298851	0.000553731475729878	8.67541851148409e-05	0	0	0	0	0	0	0
RG11	0.0254349807178163	0.0458359633446139	0.0133645021867434	0.00644292264112373	0.00109299775080395	0	0	0	0	0	0	0	0	0.00993970769804241	0.00757844398739628	0.00121178168443743	0.00019089513217413	0	0	0	0	0	0	0	0	0	0	0.0118570574162679	0.00595491027519174	0.00173779139700494	0	0	0	0	0	0	0	0	0
RG12	0.00710936226968503	0.0107912848397277	0.00937313356153387	0.0128712437578483	0.0159005148986003	0.00681205452387649	0.00116238582308174	0.000362057378654982	0	0	0	0	0	0.00893090981651796	0.0152143004292425	0.0155491684985477	0.0111798149147197	0.00190389845874887	0.00121057513914657	4.01512776599835e-05	0	1.27323008286181e-06	0	0	0	0	0	0.00927887901572112	0.0161620543846147	0.0189703740580521	0.00831307125743189	0.00337411812821649	0.00130501099284738	0	0	0	0	0	0
RG13	0.0243848711805283	0.0298779421270771	0.00825888986648342	0.00991078468592121	0.00457646337156347	0.00135829485974577	1.04719443520877e-05	0	0	0	0	0	0	0.00514098920392267	0.00344812447020125	0.000886001181334908	0	0	0	0	0	0	0	0	0	0	0	0.0119168660287081	0.0225300048435647	0.0119511810487973	0.00581418049516372	0.000123934550164058	0	0	0	0	0	0	0
RG14	0.00788487419808446	0.0357093425605536	0.0291790560718254	0.0138641474169903	0.00468427607487406	0.000349863827510273	0	0	0	0	0	0	0	0.0231427656859063	0.0112595954786004	0.0084398463046748	0.00179690417894344	0	0	0	0	0	0	0	0	0	0	0.0248568865345181	0.00815085772697152	0.000902909409120003	0.000149081551158044	0	0	0	0	0	0	0	0
RG15	0.0103019366675317	0.0401368873341192	0.00768731817276878	0.001660923400403	0.000182166291800658	0	0	0	0	0	0	0	0	0.00765466963947947	0.00350553692465122	0.000712454558186834	7.46980951985724e-05	0	0	0	0	0	0	0	0	0	0	0.00671351674641148	0.00181559390126854	9.58568208312333e-05	0.000173928476351052	0	0	0	0	0	0	0	0
RG16	0.00199158705347713	0.00563367428419332	0.00597902524548683	0.0150833747043191	0.0106548692306262	0.00437672788140302	0.00207606296780139	0.0009956577913012	1.79443468898602e-05	0	0	0	0	0.00609990147592119	0.0101248552024127	0.0136858258079052	0.00809229364651201	0.00125793291024479	0.0014100185528757	0.000501890970749794	0.000407089622346089	0	0	0	7.03685199389201e-06	0	0	0.00530374231032126	0.00890265029165391	0.0139920036858494	0.0051539621971781	0.00303329811526533	0.00125098187530911	0.00038524836298543	0	0	0	0	0
