D2C1_Parent1	D2C1_Parent2	D2C1_R1_T1	D2C1_R1_T2	D2C1_R1_T3	D2C1_R1_T4	D2C1_R1_T7	D2C1_R1_T8	D2C1_R1_T12	D2C1_R1_T13	D2C1_R1_T15	D2C1_R1_T17	D2C1_R1_T18	D2C1_R2_T1	D2C1_R2_T2	D2C1_R2_T3	D2C1_R2_T4	D2C1_R2_T6	D2C1_R2_T7	D2C1_R2_T8	D2C1_R2_T9_RESEQ	D2C1_R2_T12	D2C1_R2_T13	D2C1_R2_T14	D2C1_R2_T15	D2C1_R2_T17	D2C1_R2_T18	D2C1_R3_T1	D2C1_R3_T2	D2C1_R3_T3	D2C1_R3_T4	D2C1_R3_T6	D2C1_R3_T7	D2C1_R3_T8	D2C1_R3_T12	D2C1_R3_T13	D2C1_R3_T15	D2C1_R3_T17	D2C1_R3_T18
RG0	0.030354367089061	0.0840848565315902	0.253323228740043	0.274845505926855	0.313281075027996	0.523683574462208	0.723326126497134	0.854835001882012	0.968904522509316	0.967318982387476	0.985349177926095	0.997264033620653	0.996071170520231	0.248565249821874	0.240826545101263	0.283556744087851	0.475146749734134	0.344858986860527	0.240868692994938	0.337693062412964	0.212879461450527	0.0838897071275717	0.0773889566459226	0.0642170352776526	0.0766304117222749	0.0243101806581099	0.00614684889559363	0.24821791058868	0.253654957571821	0.292659954429734	0.538402386334373	0.577156162585364	0.678279622021707	0.843248991425928	0.978784868788292	0.993713600300591	0.99619106892796	0.997499796634176	0.995227100420429
RG1	0.00880366186488636	0.0351073644909332	0.0655293624431617	0.0796514994905178	0.0885442329227324	0.0802527537032561	0.0434231679984794	0.0189729520806966	0.00244268150426856	0.00273972602739726	0.00113950838352596	0.000694712466229255	0.000345143476465731	0.0697669887780549	0.0710777153494439	0.0848767084726782	0.0847715225965283	0.208888399852783	0.317838064802071	0.283107038865679	0.425885939286168	0.830936350153698	0.877609948817379	0.90566945451854	0.909247132370621	0.973939445270012	0.990385697881251	0.0575568745091476	0.061035235535028	0.063841890451071	0.0312991788033992	0.0418183807097873	0.0146527188608828	0.00639478879552889	0.000453646287436359	0.000144514935618596	0.000370312743114984	0.00033974055305934	0.000327383003652905
RG2	0.0356730968975867	0.0537584888107117	0.0564707020542423	0.0727276725825251	0.104490481522956	0.0831048651634957	0.129936880786258	0.0666800554751385	0.0246100484149023	0.00587084148727984	0.00113950838352596	5.31755221064368e-05	9.67691990090834e-06	0.0742911137335233	0.102051076492449	0.180710284034061	0.0986049354803594	0.384486088398335	0.36270031957825	0.329002088872009	0.335021592785469	0.0806964380102944	0.0398932566115229	0.021090559207649	0.00970963042586595	0.00015142532293375	0.000247675230225384	0.0719659418144052	0.09246696856526	0.108140789117845	0.0564000400583708	0.168976887374787	0.12341133349772	0.0770438527052675	0.0162671824855432	0.00222553000852638	0.000781079819511436	8.85239469239125e-05	0.000192983665311186
RG3	0.033810646055544	0.0692320369911142	0.251468928375633	0.198775043434277	0.132153788727137	0.0894375194226719	0.0025923491382155	0.0008323796965035	2.5807517213614e-06	0	0	1.71533942278828e-06	3.22563996696945e-06	0.227287528945493	0.217255131088178	0.130965311923433	0.141654315405163	0.0109008677439795	0.00489397933238471	0.00271711609064439	0.00133367204369364	6.02987740104586e-05	1.04241590309702e-05	9.75636013753103e-05	7.07183570711285e-05	5.13306179436441e-06	0	0.217880547437267	0.183219971012924	0.146782260546284	0.141706486594752	0.027444484380616	0.00544566248594701	0.00159988936681577	1.68641742541397e-06	0	1.24474871635289e-05	0	0
RG4	0.0277576808189053	0.0577832132179774	0.0359540778483666	0.0842038515390762	0.124400895856663	0.05503263008874	0.08466316620337	0.0296397905283022	0.000125166458486028	0	0	5.14601826836485e-06	0	0.0315478045956537	0.0861669531425155	0.113665639619738	0.0696611148792926	0.041262421411687	0.0646014602626607	0.0142391441954678	0.0167185316905881	0.000460579997228822	1.04241590309702e-05	6.72852423278002e-06	4.950284994979e-05	2.56653089718221e-06	0	0.0357061623171239	0.0858727094496665	0.127456862117308	0.0508884374374088	0.10079542435655	0.136308735210408	0.0201679049317603	0.00025464903123751	0	2.80068461179399e-05	0	0
RG5	0.0231481149848497	0.0477437361086937	0.103727949950015	0.0882943707711142	0.0810153042179918	0.0945823693933221	0.00135425163737735	0.000219778554160256	0	0	0	0	0	0.132315695137157	0.0880828311513612	0.066720313805163	0.0386950368863098	6.82964216469303e-05	4.66537591266416e-06	6.3299151791366e-06	0	0	0	6.72852423278002e-06	0	0	0	0.123497401432538	0.0839482562649972	0.0652189455426001	0.068381784886549	0.0321920270037974	0.0226185152524522	0.0192535121267322	0.000409799434375596	0	2.17831025361755e-05	0	0
RG6	0.0406981325348672	0.06407675471361	0.0412622141958786	0.0338494131790958	0.0281821575214632	0.0189634335830945	0.000266626540692226	1.01047611108164e-05	0	0	0	0	0	0.0409745724973281	0.0450197362610486	0.0319129080522723	0.0163413469992715	0.0015859946804676	0.000368564697100469	0.000123433345993164	0	0	0	1.68213105819501e-05	7.07183570711285e-06	0	0	0.0508490942565436	0.0508296197400785	0.0435342134466477	0.0347542132822112	0.0181619290212686	0.00407484337973779	0.0011516342238033	0	0	0	0	0
RG8	0.00927285621163172	0.0276925067425301	0.037298848721339	0.0560870298285354	0.0706308324001493	0.0245916922758192	0.00400731771060197	0.00158771058953703	0	0	0	0	0	0.0224731140897756	0.0396083999701069	0.0423220847726779	0.0260130127866958	0.00231069559905447	0.0020574307774849	0.000367135080389923	0.000571573733011558	0	0	6.72852423278002e-06	0	0	0	0.0324102088724663	0.058731905629627	0.0751349855922114	0.0384131162551146	0.0168992514572362	0.00710485512364538	0.0012958865437621	1.51777568287258e-05	0	0	0	0
RG10	0.0215256337705317	0.0572749242572435	0.0148215034344868	0.0114248641991599	0.00329973870847331	0.000628431338696868	0	0	0	0	0	0	0	0.0187422069825436	0.0157278637960201	0.00459876326007337	0.000234464625149681	0	4.66537591266416e-06	1.58247879478415e-06	0	1.2829526385204e-06	0	0	0	0	0	0.0143532764266371	0.0100342191831899	0.00348771063813914	0.00055795587856591	8.75123064180901e-05	0	0	0	0	0	0	0
RG11	0.0301896118222649	0.0464175640020516	0.0134219097681318	0.00646932477109953	0.00109742441209406	0	0	0	0	0	0	0	0	0.00998202039543997	0.00762274867349226	0.00121776964571471	0.000192595942087238	0	0	0	0	0	0	0	0	0	0	0.0119113525854781	0.00602594403449582	0.00174696379557415	0	0	0	0	0	0	0	0	0
RG12	0.00843833496894721	0.010928212655779	0.00941339611080654	0.0129239881829444	0.0159649122807018	0.00685749801457132	0.00117210083234998	0.000368823780544798	0	0	0	0	0	0.00896892812611329	0.0153032454429958	0.0156260039715201	0.0112794232170221	0.00191229980611405	0.00121766311320535	4.11444486643879e-05	0	1.2829526385204e-06	0	0	0	0	0	0.00932136833567226	0.0163548451115882	0.0190705033556004	0.00837649145898309	0.00340360363176072	0.00131230853460273	0	0	0	0	0	0
RG13	0.0289432024125902	0.0302570555898693	0.00829436615176239	0.00995139759407095	0.00459499813363195	0.0013673560995822	1.0559466958108e-05	0	0	0	0	0	0	0.00516287406483791	0.0034682827075025	0.000890379313826581	0	0	0	0	0	0	0	0	0	0	0	0.0119714350701463	0.0227987563221294	0.012014261690203	0.00585853672494206	0.000125017580597271	0	0	0	0	0	0	0
RG14	0.00935881548126446	0.0361624491518506	0.0293043954980812	0.0139209606122584	0.00470324748040314	0.000352197783225717	0	0	0	0	0	0	0	0.023241282953331	0.0113254207118642	0.00848155140181197	0.00181291397660378	0	0	0	0	0	0	0	0	0	0	0.0249707097887242	0.00824808607116868	0.000907675139337459	0.00015021889038313	0	0	0	0	0	0	0	0
RG15	0.0122277061052571	0.0406461738933548	0.00772033925634493	0.00166772961521263	0.000182904068682344	0	0	0	0	0	0	0	0	0.00768725507659423	0.0035260308035138	0.000715975118334777	7.53636295123973e-05	0	0	0	0	0	0	0	0	0	0	0.00674425890400965	0.001837251399739	9.63627716419905e-05	0.000175255372113651	0	0	0	0	0	0	0	0
RG16	0.00236387991490032	0.00570515851684362	0.0060047083104905	0.0151451841100188	0.0106980216498694	0.00440592520976486	0.0020934143244449	0.0010142653964982	1.80652620495298e-05	0	0	0	0	0.00612586836480228	0.0101840465789349	0.0137534536620291	0.00816439319717638	0.00126348380046821	0.00141827427744991	0.000514305608304849	0.000412803251619459	0	0	0	7.07183570711285e-06	0	0	0.00532802890825834	0.00900884647073328	0.014065856183226	0.00519328163895963	0.00305980528511822	0.00125797728953956	0.000394607586002995	0	0	0	0	0
