D2C2_Parent1	D2C2_Parent2	D2C2_R1_T1	D2C2_R2_T1	D2C2_R3_T1	D2C2_R1_T2	D2C2_R2_T2	D2C2_R3_T2	D2C2_R1_T3	D2C2_R2_T3	D2C2_R3_T3	D2C2_R1_T4	D2C2_R2_T4	D2C2_R3_T4	D2C2_R1_T6	D2C2_R2_T6	D2C2_R3_T6	D2C2_R1_T7	D2C2_R2_T7	D2C2_R3_T7	D2C2_R1_T8	D2C2_R2_T8	D2C2_R3_T8	D2C2_R1_T9_RESEQ	D2C2_R2_T9_RESEQ	D2C2_R3_T9_RESEQ	D2C2_R1_T10_RESEQ	D2C2_R3_T10_RESEQ	D2C2_R1_T12	D2C2_R2_T12	D2C2_R3_T12
RG0	0.000288904821715778	0.00450430516746532	0.00938928442367799	0.00956516091922031	0.00772965417504624	0.0240977866215291	0.0191020300640466	0.014485389895332	0.0387214658657684	0.0275886031966644	0.017366830620606	0.104301586659111	0.0431558041582316	0.0230296055786171	0.371085028192141	0.154052211650168	0.0986148444785781	0.500203416593155	0.2728246980751	0.22689395165205	0.719137521366368	0.446124575389436	0.318614893684244	0.838696845309473	0.607547283008114	0.500644459551326	0.892789259077179	0.560594102030566	0.776075970305954	0.850154067311889	0.587845263389259
RG1	0.0153542343053336	0.0725208936541452	0.169575590819085	0.169795522651155	0.177525413114426	0.262943677076738	0.282470322867445	0.291781758385914	0.249614706472504	0.284198131418423	0.310180118952999	0.422265846353113	0.385140126838535	0.59872179524064	0.174365568230194	0.229377294301012	0.250235887870975	0.0902001538715616	0.138349614607807	0.134615384615385	0.0356430530155726	0.058200856477325	0.0616448137499605	0.0199589521261876	0.0388538088881556	0.0411828687967369	0.0148996916217332	0.0264045346918275	0.0114914202571729	0.0120257191436507	0.0051102644882409
RG2	0.00854735484734727	0.0369179173357272	0.0785145361676589	0.0825308246820117	0.0766509243626949	0.141438286839034	0.139661162059371	0.120104945171691	0.151602863766186	0.152486294494634	0.110889690100177	0.197947866914919	0.123624396749403	0.109339251709068	0.170590688340009	0.099664275953005	0.159912776345384	0.154290478895025	0.091133918634846	0.181733600854341	0.0626065909585815	0.0511303680491159	0.123705412151275	0.0279206254035606	0.0452731990460906	0.107431679129844	0.00839561803158445	0.0891392217359068	0.00371681953676478	0.0289698662144174	0.0707121400835226
RG4	0.000593664176330592	0.00093563110846999	0.000824177565886657	0.000790911705493241	0.00069242464838063	0.00163666826026471	0.00205146780380987	0.00197696010051087	0.00286888920196212	0.0068604740946645	0.00654663856027707	0.00364789929571764	0.0193519913266236	0.0102133081254367	0.0222148857979375	0.132340563081876	0.0813127434307971	0.034109538828401	0.193534204415866	0.119664412154946	0.0215966530679889	0.182841428708471	0.128486303750276	0.0240695046582419	0.125770551797579	0.110509857239973	0.0180557709851016	0.0864605008251417	0.0148368954260501	0.0188746028885178	0.0387097955894205
RG6	0.010724710698815	0.0116369119115955	0.0143660489561474	0.013382875485912	0.0137387380116921	0.0126195736909884	0.00611818166850519	0.0117462839616802	0.0103698390945922	0.00716546984788819	0.0114345393739033	0.00333421031328422	0.00501789363600603	0.00477443042483526	0.0091266083420936	0.0235806937870249	0.0277387678973065	0.00624347959187784	0.0493934023054834	0.046438626581664	0.00264008340351073	0.0606556651227773	0.0686095226059208	0.000755234756941242	0.0371814677605627	0.102017675050986	0.000571801134137974	0.113821721556528	0.00067854743586714	0.0367807206311222	0.215839988277529
RG7	0.000304759354614814	0.0023754283041054	0.00834955272517482	0.00651052538803381	0.00844628947546815	0.0184771232540411	0.0172382567462996	0.0152152022688851	0.031130863185577	0.0164929349085013	0.0314430634428791	0.0147332631749373	0.0132211423143715	0.0156179359664625	0.0381354091552783	0.0332523627099875	0.0988644467606561	0.0321035692563009	0.0229930066086861	0.117051228115595	0.0141543157655375	0.0119407500694873	0.111547818394364	0.00459482520062725	0.00311220434058764	0.0517607070020394	0.00315739384873428	0.0389849561120279	0.0041286741993309	0.00133112420279123	0.0371675580628617
RG9	0.00078744180065215	0.0107313095042419	0.0175232830162363	0.0230292150259308	0.0264945235505083	0.0214834244268431	0.0342394257207304	0.0302502609772095	0.0406084435849161	0.0675855146320747	0.0469438140985029	0.0101291184327694	0.0545923800934499	0.0076856684887592	0.00563842819040338	0.0365936010804618	0.00414449503538318	0.000789498064521327	0.0146531470260913	0.000663408951166629	9.82804770649981e-05	0.00385070434314191	7.83545543584721e-05	6.34166589797989e-05	0.00224978627030432	0	0	0	0	0.00015200439509851	0
RG10	0.00219673361389985	0.0105179476805199	0.0240976840610399	0.0236322562090048	0.0257504495111062	0.0338316557483666	0.0232905807003968	0.033206462996665	0.0324884625400769	0.018145316963941	0.0304831457654192	0.0182850319760382	0.0155717808245464	0.0156247859383777	0.017323614501794	0.00496705167718005	0.0110867299358166	0.0130106058592035	0.00227388263742907	0.00445778453771723	0.00330877606118827	0.000907639669510932	0.00300527629458785	0.000668757494696061	0.000217479339462751	0.00130795377294358	9.85864024375817e-05	0.00028700581186769	4.72620104584077e-05	0.000143318429664309	0
RG11	0.00383503534680029	0.00517283888179439	0.00915048425715185	0.00621828235315947	0.00686129878849897	0.0155784976246775	0.00711921892750712	0.0100603249974595	0.0372998288058676	0.0191877075129334	0.0133620540702429	0.0105591759086861	0.0191696969115488	0.00187689230474155	0.0307941582756314	0.0371632758217878	0.00820944648636788	0.0266777840883916	0.0230136158168803	0.00299343063331284	0.00957560177521521	0.0100246218782976	0.0018868282202774	0.0146953694308643	0.00312720291572301	0.000100611828687967	0.0149456986095374	0	0.0181924981685971	0.000373496513670624	0
RG12	0.00610575678089564	0.0338565702798043	0.0354037096443568	0.038065814986965	0.0391131153944238	0.00987600084417626	0.0133954591105916	0.010817851764945	0.00320615445040707	0.0037178596247394	0.00404317325746144	0.000703270460616854	0.00108417204755006	0.00156864356856137	0	0.000352046188459926	0	0	0.000261049970460135	8.09035306300767e-06	0	6.51827946938745e-05	0	0	3.74964378384054e-05	0	0	0	0	0	0
RG13	0.00430538648947171	0.0209173610145276	0.0227642070249514	0.0230013823559427	0.027492002414609	0.0168232269068262	0.0148937221133741	0.0387678180457657	0.0101905335194696	0.0105204231333488	0.0260905624733623	0.00374402979033433	0.00267684956872979	0.00719932048278602	0.00344474079737279	0.00186584479883761	0.00541170662131768	0.00210264280449047	0.000453402580272866	0.00238665415358726	0.000381559499193522	0.000131595453438577	0.00128021231556665	0.000190249976939397	8.99914508121728e-05	0.000508497620666213	9.85864024375817e-05	9.56686039558968e-05	1.01275736696588e-05	0	0
RG14	0.00138815243604898	0.00326838704783098	0.00339814750242498	0.004068208596584	0.00361384332802851	0.00446638154182764	0.00359912409239837	0.00366753813038699	0.00661296037773708	0.00842792062389005	0.00724929830017778	0.00153302841415041	0.00913390963953678	0.00173989286643925	0.00444384594667385	0.038766686189228	0.0171238137034396	0.00820514059913236	0.039164365305085	0.010509368628847	0.00386569876455659	0.0225803039731988	0.00923446336608638	0.00194862097592473	0.0311520405561472	0.00464717878993882	0.00186656921948488	0.00480734734878381	0.00172506338173188	0.0150658070456209	0.000897501648472416
RG15	0.00340343972899318	0.0063803087582658	0.00922867546212059	0.0102308256097674	0.00946152281773253	0.0130373547995297	0.0150583663993941	0.0173445915360241	0.0151812053603829	0.0169291946567833	0.0184073813829726	0.0114243503602364	0.019985224557936	0.012254599756141	0.0069416088199265	0.0232926559964667	0.014109386142959	0.00303715071759735	0.0157042166439965	0.00774246788129834	0.0011119183385589	0.00592302526878679	0.00539003506998199	4.03560557144175e-05	0.0015448532389423	0.00266757307953773	0	0.00150678051230537	0.000121530884035906	0.000384353970463375	0.000633746061982563
RG16	0.00326955700673465	0.0178733989960931	0.0281150213757848	0.0326709157876182	0.0275969152401212	0.0355243152912193	0.0403707789321172	0.0384213881216108	0.0323475795881949	0.0298278125241294	0.0309823029576983	0.0202228203675221	0.0222495130820229	0.0152480374830463	0.0181272425566666	0.00601998982266473	0.0124417137528115	0.0168533668467206	0.00278224310621986	0.00604349373806673	0.00882789932225012	0.000656747403142057	0.0033515528735269	0.0020466285398026	5.24950129737675e-05	0.000606390210740993	0.00049950443901708	0.000645763076702303	0.000124906741925792	0	0.000300388306835666
RG17	0.00174399861889402	0.00131968239116967	0.00156382409937468	0.00153079684934176	0.00242590733453633	0.0023257917382709	0.00172876500321056	0.00321948876181326	0.00361172658461302	0.00317736082155818	0.00403165424533192	0.00185683639601716	0.00337724390033293	0.00136314441110791	0.0106252660660452	0.00965246640359215	0.00973997476548357	0.0234029783411679	0.0121869117788495	0.0164557781301576	0.0253929773781467	0.00939985094047704	0.0193207165650374	0.00954708975186791	0.00370464805843445	0.0104935418082937	0.00574167207796476	0.00550094472746406	0.0150765813362321	0.0016155895707613	0.00482452926954356
RG18	0.00118380512312806	0.00128333185823924	0.00488166712102097	0.00451585070555818	0.00315868306965243	0.0102550187570797	0.0120815977081515	0.00885474886140032	0.00926839056169606	0.0136398733688518	0.0129665679871294	0.0141109447097871	0.0143149088048202	0.0179263765018563	0.00703283146399312	0.00973887774075959	0.0185446266937298	0.00522438260042939	0.00697965184177624	0.0156305621177308	0.0020870148364979	0.00398475952468214	0.0166920476446242	0.000121068167143252	0.000929911658392453	0.00990346702923182	4.60069878042048e-05	0.00930377173471096	0	0	0.00716169682760642
RG20	0.00127012424668949	0.00236436509843092	0.00255495045424864	0.00283429356044792	0.00252759207310971	0.0036049771943199	0.00301957620560778	0.00233724722163201	0.00484551970867113	0.00507296733842947	0.0048379850943983	0.00232736986966729	0.00838554309344028	0.00237009028262984	0.00333179847614745	0.0267363078035838	0.0109934719403149	0.00533313998686855	0.0286467993899674	0.00702242645869066	0.00300622635728229	0.0163522724198067	0.0070708666392847	0.00197168157919011	0.0273124053214945	0.00508225696804895	0.00163916325119552	0.00322881538351152	0.0013030811454961	0.0132200393908532	0.000732654406916258
RG21	0.00243455160738539	0.00205617579749908	0.00759299998520707	0.00744060044346721	0.00640129639971464	0.0162116298200957	0.017857319261735	0.0157648710818776	0.0154672404445071	0.0264767199444058	0.0229573911741329	0.0134430907471869	0.0294453452560277	0.0179400764456866	0.00928299001763638	0.0175959085832061	0.0359427286192331	0.00857974937464503	0.0126059656787986	0.0285751270185431	0.00326445349310013	0.00594270309360003	0.0278803197371331	0.000363204501429757	0.00155985181407766	0.0145397688647179	0.000203745231704335	0.012963095836024	0	1.5200439509851e-05	0.0127042274159279
RG22	0.000836767014115819	0.00713734811799067	0.0138482963827058	0.0158437473906872	0.0129397864943299	0.0214360471877302	0.0235276684722657	0.0224255637569632	0.0245990172346811	0.0260288780789128	0.0280027184868626	0.0169898000485712	0.0258378347261266	0.0205704656610908	0.0184182862305935	0.0271555628098407	0.0245131384058369	0.0126923898025852	0.0188642952337771	0.0120465357108184	0.00241076229035907	0.00727095626849408	0.00705064610912767	0.000524628724287427	0.0033296836800504	0.00307273963290279	0.000187971407314322	0.00117194039845974	0	0.00262099006977002	9.89083449336948e-05
