D2C2_Parent1	D2C2_Parent2	D2C2_R1_T1	D2C2_R2_T1	D2C2_R3_T1	D2C2_R1_T2	D2C2_R2_T2	D2C2_R3_T2	D2C2_R1_T3	D2C2_R2_T3	D2C2_R3_T3	D2C2_R1_T4	D2C2_R2_T4	D2C2_R3_T4	D2C2_R1_T6	D2C2_R2_T6	D2C2_R3_T6	D2C2_R1_T7	D2C2_R2_T7	D2C2_R3_T7	D2C2_R1_T8	D2C2_R2_T8	D2C2_R3_T8	D2C2_R1_T9_RESEQ	D2C2_R2_T9_RESEQ	D2C2_R3_T9_RESEQ	D2C2_R1_T10_RESEQ	D2C2_R3_T10_RESEQ	D2C2_R1_T12	D2C2_R2_T12	D2C2_R3_T12
RG0	0.000658045204495572	0.00606481047999251	0.0106480882331795	0.0107706611786091	0.00865335446228681	0.0254614460463084	0.0201742335982194	0.0152700748408961	0.040118542108988	0.0286873893512218	0.0179908196303986	0.105946140404975	0.0442111677920955	0.0233611740344928	0.374862870031507	0.155936672897438	0.0994316689021945	0.504817268994675	0.2754492679239	0.228223365124833	0.738866328625707	0.467891872648403	0.330069453990822	0.857917084389927	0.639123368939239	0.50981206578113	0.908072732134501	0.577215750978895	0.781606459838504	0.858844846913369	0.593561703119278
RG1	0.0349726951364842	0.0976455767315566	0.192310273260189	0.191194906135412	0.198739851868449	0.277823285277414	0.298325479490167	0.307587805364977	0.258620842179759	0.295517043424502	0.321324868937098	0.428923835954363	0.394558625502511	0.607341884736718	0.176140701929912	0.232183178211952	0.252308585809699	0.0910321557786902	0.139680536000388	0.135404120959604	0.0366208839619298	0.0610405909675455	0.0638610134653025	0.0204163472312319	0.0408731598794553	0.0419369934401626	0.0151547563339795	0.0271874307385426	0.0115733106672333	0.0121486531842502	0.00515995872033024
RG2	0.0194685081232471	0.0497080378954895	0.0890408332494524	0.0929322106494782	0.0858107754048863	0.149442078054463	0.14750039124311	0.126611124366384	0.157072717622081	0.158559448251498	0.114873948911323	0.201068969061568	0.126647598266152	0.110913462206596	0.172327391766058	0.100883430574408	0.161237330088361	0.155713646896215	0.0920106256805776	0.182798411510042	0.0643241391736146	0.0536251194743515	0.128152759503283	0.0285604764993808	0.0476261853295256	0.109398926169293	0.00853934086503109	0.0917822050385401	0.00374330641733957	0.0292660133858941	0.0713997728878384
RG4	0.00135220264582322	0.00125977817689669	0.000934673511352688	0.000890590558173062	0.000775169986285454	0.00172928498616572	0.00216661739901581	0.0020840535816019	0.0029723991507431	0.00713370989044516	0.00678185882596279	0.00370541679514853	0.0198252390921869	0.0103603541003655	0.0224410450839455	0.133959434112018	0.0819862549607976	0.0344241635838855	0.195396000804555	0.120365547996484	0.022189135302841	0.191762622360439	0.133105529480306	0.0246211004305007	0.132307231101785	0.112533470677333	0.0183648639614948	0.0890240598911518	0.0149426264343391	0.0190675502848506	0.039086224944609
RG6	0.0244279219815186	0.0156684910751526	0.0162920782825015	0.0150695235209929	0.0153805289586522	0.0133336973933304	0.00646159731520284	0.0123825893878823	0.0107439844302902	0.00745085287375702	0.0118453815740277	0.00338678178641176	0.00514060488111737	0.00484317022666315	0.00921952204172262	0.0238691473129392	0.0279685274555084	0.0063010691491524	0.0498685661573461	0.0467107190521142	0.00271251140937737	0.0636151745647651	0.0710761113620445	0.000772542312909123	0.039113902081131	0.103885782957714	0.000581589678454442	0.117196542468047	0.000683382915427114	0.0371567149936493	0.217938901650077
RG7	0.000694157441327646	0.0031983895268171	0.00946896164962685	0.00733104896419878	0.00945562829424658	0.0195227173438183	0.0182058460414892	0.0160394217238239	0.0322540693559802	0.0171498079076993	0.0325728105136711	0.0149655668619591	0.0135444618091391	0.015842795002571	0.0385236477888067	0.0336591260289682	0.0996833386340694	0.0323996910443514	0.0232141990165003	0.117737052830312	0.0145426250378663	0.0125233627982989	0.115558086709478	0.00470012384266085	0.00327395509553638	0.0527085288962361	0.00321144461528177	0.0401408624128845	0.00415809604759881	0.0013447317446633	0.0375289900906599
RG9	0.00179357442932635	0.0144491449681225	0.0198725968106064	0.0259315942876843	0.0296606417829271	0.0226991408184069	0.0361612964927229	0.0318889413689505	0.0420736022646851	0.07027727931465	0.0486305020564346	0.0102888272175969	0.0559274221291737	0.00779632280389677	0.00569583037132601	0.0370412364788472	0.00417882378970367	0.000796780356925078	0.0147941100992516	0.000667295986458774	0.000100976702100909	0.00403858779704129	8.11714878602803e-05	6.48699652061096e-05	0.00236671452689377	0	0	0	0	0.00015355827426824	0
RG10	0.00500355103662182	0.0141618644717018	0.0273284155127044	0.0266106369420098	0.0288276502592031	0.0357461409640309	0.0245978890260655	0.035005283173215	0.0336606510969568	0.0188680002729838	0.0315784030611839	0.0185733374447528	0.0159525845545956	0.0158497435968704	0.017499978059205	0.0050278117032684	0.011178561057566	0.0131306150656531	0.00229575735717407	0.00448390351876566	0.00339954897073062	0.000951925197769554	0.00311331932470559	0.000684083269446246	0.000228782404266397	0.00133190451269186	0.000100274082492145	0.000295515551505898	4.75988100297493e-05	0.000144783515738626	0
RG11	0.00873514884260281	0.00696495603544403	0.0103772725747619	0.00700197444710258	0.00768122986410132	0.0164600626183195	0.0075188231407258	0.0106053007026377	0.0386456121726822	0.0199519066716446	0.013842151738622	0.0107256655360263	0.0196384867160086	0.00190391483802827	0.0311076590927042	0.0376178798314128	0.00827744513738125	0.0269238586934428	0.0232350064849943	0.00301096969499691	0.00983829868116507	0.010513742936341	0.00195466179637739	0.0150321401191248	0.00328973319238234	0.000102454193283989	0.0152015509058092	0	0.0183221419464513	0.00037731461677339	0
RG12	0.0139072236511076	0.0455860947727718	0.0401502188094656	0.042863261703039	0.0437871661483809	0.010434869666521	0.0141473508494323	0.0114038632899805	0.00332183297947629	0.00386593282189009	0.00418844418987614	0.000714359132490492	0.00111068518463913	0.00159122809455647	0	0.000356352633607941	0	0	0.000263561267590981	8.13775593242408e-06	0	6.83631917097376e-05	0	0	3.94452421148961e-05	0	0	0	0	0	0
