D2C3_Parent1	D2C3_Parent2	D2C3_R1_T1	D2C3_R2_T1	D2C3_R3_T1	D2C3_R1_T2	D2C3_R2_T2	D2C3_R3_T2	D2C3_R1_T3	D2C3_R2_T3	D2C3_R3_T3	D2C3_R1_T4	D2C3_R2_T4	D2C3_R3_T4	D2C3_R1_T6	D2C3_R2_T6	D2C3_R2_T7	D2C3_R3_T7	D2C3_R1_T7	D2C3_R1_T8	D2C3_R2_T8	D2C3_R3_T8	D2C3_R3_T9_RESEQ	D2C3_R2_T10_RESEQ	D2C3_R3_T10_RESEQ	D2C3_R1_T12	D2C3_R2_T12	D2C3_R3_T12
RG0	0.0106033370892696	0.0457222879463939	0.173852869445104	0.196607545652961	0.186653780105796	0.292011576368561	0.280477495123892	0.336851790001701	0.403063827008851	0.319046955875868	0.428519533567707	0.714105903360498	0.561251206859873	0.710134904787415	0.573516190008377	0.523843636717077	0.709166517708084	0.838568151357104	0.815131103412178	0.878292882150392	0.729522707083813	0.869589854960282	0.915366816337008	0.775005929634998	0.920462644272284	0.987613695302913	0.639758176195672	0.972408622528595
RG1	0.0203886218639369	0.115167379282292	0.348339736257095	0.329940436049312	0.299310511464149	0.221366555168424	0.431286856421196	0.172588176725252	0.0996641542849914	0.183189038213062	0.0723785383022607	0.0222869648107622	0.0579292739203718	0.0216432084936444	0.00082013587063782	0.00269629106984078	0.000131533239124056	0.000215851534302825	0.000165125495376486	8.94746108575997e-05	2.33208460802958e-05	8.90889414335141e-05	3.72005818170996e-06	0	0	0	0	1.48756617810035e-06
RG2	0.0163579119919887	0.0663384598187255	0.0406405801480586	0.0541257918882736	0.0475048108868428	0.0877509953621593	0.103242638062933	0.0893425422372343	0.117439900756163	0.204806226740632	0.116059139546242	0.0783064591920304	0.175825164869332	0.0485170213802172	0.0622469968554149	0.315394058080054	0.171910570887984	0.031820531998735	0.0197215921836445	0.0113012206068688	0.0847998965402465	0.0148048294969104	0.0168816240285998	0.066332850177889	0.00969801637011542	0.000139154195498994	0.0399892082584144	0.0134624739118082
RG3	0.00884186045782721	0.00681720089550478	0.00804232404549673	0.0104311659319449	0.0160650541206792	0.00396155796969325	0.00255073956907457	0.0342340582404356	0.00206485943857043	0.0129091907867759	0.0736217119469794	0.000758562356510882	0.0204307057880181	0.0788292017727561	0.000942936963567547	0.0768856938179698	0.0858406154406532	0.082174177128773	0.000345828867675282	6.06118331615998e-05	0.11892359454801	0.0414190553943354	0.0364807505589387	0.136423771247859	0.00970774600780803	7.35303419398095e-05	0.306551201861917	0.0046888085933723
RG4	0.0316815049655149	0.0553262972243699	0.0270568493298513	0.0620687593224393	0.0451288512263806	0.0687023659949146	0.0477723610335065	0.064699691846213	0.104581457888702	0.0742907101795759	0.0901583431885789	0.0668676073734946	0.0446415421623656	0.0501728924170847	0.314493598993031	0.0161741465644788	0.00376724687439925	0.0207870047336743	0.151482390767927	0.050061044774827	0.00245292899226384	0.00817427549513735	0.0139613783559575	0.00183423375938859	0.00739209223696533	0.000516293691254791	0.00031760505299394	0.00328603368742367
RG5	0.0177197653662978	0.0196768854815822	0.114750825545508	0.0722275190103016	0.0976789808111055	0.0999804408434969	0.0286729715077405	0.0742278825612684	0.0961343056400044	0.0231761947868069	0.0408188800942875	0.0437213860881006	0.0147114173035068	0.0174353479764282	0.00830661678603225	0.00191872248361166	7.41982374545957e-05	0.000953762593431086	0.000439296129209142	9.38040275119997e-05	6.25422690335205e-05	0.000265806349850813	5.39408436347945e-05	0	0	0	0	0
RG6	0.0187634872849282	0.0521171981009337	0.0679968920639717	0.0673806810820508	0.0619446625763342	0.0510759193632334	0.0177783224525319	0.0440048649227725	0.0310341028267354	0.00827085702790737	0.0376302204211453	0.0101029765181317	8.18210083621071e-06	0.0160522086397506	0.00113591010959998	0	0	0.00040158424986572	0.000130854166147404	1.73176666175999e-05	2.12007691639053e-06	1.60652189470271e-05	3.72005818170996e-06	0	2.43240942315411e-06	0	8.53777024177258e-07	0
RG7	0.0260193919144461	0.047557389622205	0.0186503140310362	0.0273701834755715	0.0152251264925255	0.0268424559670345	0.0212970136821837	0.0164096617870399	0.0400199140594076	0.0371105385728323	0.0188615274083462	0.0211424083347878	0.0118967746158504	0.00635075244727999	0.015451008942551	0.0192124238180778	0.00358849657507681	1.0039606246643e-05	0.00335235911368111	0.0013608799683664	0.00192608987854079	4.38142334918922e-06	3.72005818170996e-06	0.000954012386348663	0	0	0.000128066553626589	0
RG8	0.0428693890152186	0.0596050960556182	0.01837243433406	0.0115241129356424	0.0222523292171127	0.0160782896677927	0.000365578309574205	0.0161764983899122	0.0141969288276414	0.000506773746798815	0.0129927790985377	0.00464535531597814	0	0.00293186577704184	0.00370157580116749	0	0	4.0158424986572e-05	0.00052964781535854	0.000209255138295999	0	0	0	0	0	0	0	0
RG9	0.0406048572247967	0.0563835766162712	0.0181727926100188	0.0112882489925952	0.0220538531679942	0.0156539554250138	0.000394658402381244	0.0154675556283754	0.0126829706226816	0.000309480150716833	0.0114993562136483	0.00576977296832834	0	0.00294160619490576	0.00357877470823776	0	0	6.52574406031795e-05	0.000679195433812716	0.000220800249374399	0	0	0	0	0	0	0	0
