D2C3_Parent1	D2C3_Parent2	D2C3_R1_T1	D2C3_R2_T1	D2C3_R3_T1	D2C3_R1_T2	D2C3_R2_T2	D2C3_R3_T2	D2C3_R1_T3	D2C3_R2_T3	D2C3_R3_T3	D2C3_R1_T4	D2C3_R2_T4	D2C3_R3_T4	D2C3_R1_T6	D2C3_R2_T6	D2C3_R2_T7	D2C3_R3_T7	D2C3_R1_T7	D2C3_R1_T8	D2C3_R2_T8	D2C3_R3_T8	D2C3_R3_T9_RESEQ	D2C3_R2_T10_RESEQ	D2C3_R3_T10_RESEQ	D2C3_R1_T12	D2C3_R2_T12	D2C3_R3_T12
RG0	0.0123461520916017	0.0463483919704755	0.174996809154874	0.197815383895475	0.187376554974185	0.294034195223885	0.282322390718466	0.339231091423712	0.405462986909028	0.321186559491541	0.431425854586239	0.717158131758488	0.565843960866481	0.714204545454545	0.578289383493493	0.5270596246206	0.713396325637415	0.843458415801591	0.818958393328909	0.89171622688838	0.741404998475615	0.881840411020784	0.922769555589307	0.785799411069961	0.967254305045408	0.995889255457739	0.646043396205268	0.976753047072166
RG1	0.02373979289266	0.116744438586413	0.350631787334925	0.331967391195355	0.300469524238539	0.222899851121926	0.434123730092853	0.17380722708061	0.100257385992783	0.184417546811228	0.0728694266998261	0.0223822236604374	0.058403312820682	0.0217672413793103	0.000826961601563709	0.00271284417625881	0.000132317766204685	0.000217110312234923	0.000165900810096786	9.0842091536594e-05	2.37006904442048e-05	9.03440033057019e-05	3.75014297420089e-06	0	0	0	0	1.49421216916275e-06
RG2	0.0190465763423202	0.067246874040966	0.0409079923202468	0.0544583081257959	0.0476887626043868	0.0883588028333567	0.103921736712365	0.0899735997055352	0.118138939175626	0.206179705268405	0.116846280131987	0.0786411563250007	0.17726395327735	0.0487950626959248	0.0627650588823194	0.317330329525451	0.172935927666288	0.0320060992850507	0.0198141910926916	0.0114739422390817	0.0861810969756842	0.0150133960903262	0.0170181488169236	0.0672566655443862	0.0101910144238511	0.000140320217113645	0.040382076972353	0.0135226201309229
RG3	0.0102951507686693	0.00691055311179484	0.00809524197468506	0.0104952487273675	0.0161272624369059	0.00398899771008165	0.00256751755759665	0.0344758653077284	0.00207715011719888	0.0129957628438795	0.0741210318427854	0.000761804600490791	0.0205978915414185	0.0792809561128527	0.000950784729070575	0.077357711504053	0.0863526098831193	0.0826533909601325	0.000347452640014023	6.15381910409185e-05	0.120860593616111	0.0420025562909788	0.036775777076501	0.138323740507378	0.0102012386670654	7.41464783611874e-05	0.309562873802345	0.00470975675720098
RG4	0.0368888280644131	0.0560839149833571	0.0272348815042323	0.0624500723637372	0.0453036025734318	0.0691782330909892	0.0480865930840109	0.0651566882861386	0.105203958900342	0.0747889210829673	0.0907698184359812	0.0671534126149449	0.045006846716051	0.0504604231974922	0.317111029545083	0.0162734431027114	0.00378971653463163	0.020908227975926	0.152193646938034	0.0508261502147243	0.00249288171308591	0.00828943256560678	0.0140742865821759	0.00185977907107242	0.00776786878206259	0.000520619896450058	0.000320725322040123	0.00330071468168051
RG5	0.0206322704256193	0.0199463334408763	0.115505877944064	0.0726712413472691	0.0980572207399194	0.100672955596948	0.0288615735871858	0.0747521799281607	0.0967065266027102	0.0233316197775493	0.041095723411518	0.0439082598495267	0.0148318017586986	0.0175352664576803	0.00837575012492869	0.00193050193050193	7.46407911923866e-05	0.000959324635456639	0.000441358758936732	9.52376766109453e-05	6.35609425549129e-05	0.000269550960682586	5.43770731259129e-05	0	0	0	0	0
RG6	0.0218475434514849	0.0528308716487909	0.0684443068533922	0.0677946273685336	0.0621845293784723	0.051429696836174	0.0178952628464737	0.0443156865980428	0.0312188273543429	0.00832632333239867	0.0378854374928886	0.0101461586171561	8.24905548314718e-06	0.0161442006269592	0.00114536392943851	0	0	0.000403926162297532	0.000131468566491793	1.75823402974053e-05	2.15460822220044e-06	1.62915415797167e-05	3.75014297420089e-06	0	2.5560608035744e-06	0	8.6216484419388e-07	0
RG7	0.0302960631358058	0.0482086228468457	0.0187730317916799	0.0275383293836882	0.0152840823775368	0.027028380300026	0.0214370989560574	0.0165255689390382	0.0402581248999397	0.0373594105368103	0.0189894507566522	0.0212327751260685	0.011994126672496	0.0063871473354232	0.015579602793096	0.0193303729889096	0.0036099000831227	1.00981540574383e-05	0.00336809946536116	0.0013816789083711	0.0019574615698691	4.44314770355911e-06	3.75014297420089e-06	0.000967298884666977	0	0	0.000129324726629082	0
RG8	0.0499156060398704	0.0604213060961119	0.0184933236657515	0.0115949101386108	0.0223384963673955	0.0161896559781556	0.000367982972424276	0.0162907586276924	0.0142814333156817	0.000510172290245194	0.0130808992051495	0.00466521047380201	0	0.00294866771159875	0.00373238284342123	0	0	4.03926162297532e-05	0.000532134673895351	0.000212453278593647	0	0	0	0	0	0	0	0
RG9	0.0472788650152822	0.0571556723664434	0.0182923683131428	0.0113575971896799	0.0221392517643254	0.0157623825832682	0.000397254345230753	0.0155768083567086	0.0127584635657196	0.000311555597096302	0.0115773475723737	0.00579443410727287	0	0.00295846394984326	0.00360855971591437	0	0	6.5638001373349e-05	0.000682384464171685	0.000224174838791917	0	0	0	0	0	0	0	0
