D3C2_Parent	D3C2_R1_T1	D3C2_R2_T1	D3C2_R3_T1	D3C2_R1_T2	D3C2_R2_T2	D3C2_R3_T2	D3C2_R1_T3	D3C2_R2_T3	D3C2_R3_T3	D3C2_R1_T5	D3C2_R2_T5	D3C2_R3_T5	D3C2_R1_T6	D3C2_R2_T6	D3C2_R3_T6	D3C2_R1_T8	D3C2_R2_T8	D3C2_R3_T8	D3C2_R1_T9	D3C2_R2_T9	D3C2_R3_T9	D3C2_R1_T10	D3C2_R2_T10	D3C2_R3_T10	D3C2_R1_T13	D3C2_R3_T13	D3C2_R1_T15	D3C2_R3_T15	D3C2_R3_T17	D3C2_R1_T19	D3C2_R3_T19
RG0	0.00607554506318567	0.0461357443646272	0.0446104504599628	0.0245665647170674	0.291644270282455	0.182219284568278	0.139847476000397	0.490327105236563	0.239839559033417	0.258668893968701	0.92431030339375	0.399446741744908	0.743219105631483	0.916360919731053	0.532734243779367	0.755489481401465	0.973707697415984	0.735409693399384	0.883584018105117	0.980132677727722	0.778454630550518	0.842566203538772	0.986337025556663	0.827625694704661	0.879776955153085	0.988046296266252	0.860270752622644	0.990951209425882	0.988609989858622	0.98890426492317	0.997328613517436	0.997419027230815
RG1	0.0048951534509096	0.029821374508023	0.0608774268481001	0.0369081466997928	0.0369358278570562	0.160650125415226	0.0431221565515799	0.103757376788115	0.482368718933018	0.185698962546158	0.0327888369795996	0.525668609742063	0.191761501728869	0.0164729808251017	0.370880845906891	0.158763142584239	0.00711882048468264	0.227319587628866	0.0860356253356959	0.00427837600263707	0.179152284560931	0.126473781532563	0.00258354425837651	0.156769496380707	0.105033526940525	0.000298518117129424	0.0513356258796558	0	0.00466984403121781	0.00253340122390456	1.09933600105536e-05	0.000537017688705093
RG2	0.0426329676433829	0.116643271956623	0.0425185106972693	0.0294368256303086	0.276260988677544	0.282387634736628	0.0674862700929978	0.186882715576775	0.124740390767262	0.0421575523122912	0.000888508694377261	0.000866699785916218	0.000650048826212058	0.000124512326720345	0.000568379127304168	0.000233807049373161	0	0	0	0	0	0	0	0	0	0	1.45097868512312e-05	0	0	0	0	0
RG3	0.0181224829884738	0.0216951531665428	0.0443200865812293	0.027894127882468	0.0258699911570406	0.041070661876031	0.059416317828065	0.0218784740193121	0.0272528175599193	0.0594566555301565	0.00832067447290269	0.0084614917243573	0.009199351692376	0.00711795467751307	0.0116553156205042	0.0104986614999538	0.00101260099517484	0.00333210603829161	0.00327046621824389	0.000357103614987364	0.00168197507751711	0.00165402819481907	7.45253151454762e-05	0.00252842729720927	0.000583162025425084	0	0	0	0	3.12379928964804e-06	0	1.82659077790848e-06
RG4	0.0110054159144563	0.134664079486968	0.155047712064619	0.105091799485169	0.0283390841468278	0.0476408379092943	0.0605130199033465	0.00874648961354358	0.0143830897189822	0.052764199050466	0.000594176409763454	0.000151895838768822	0.00125076358972052	0.000211670955424587	0.000299072308880747	0.00103672583132906	4.70977207058064e-06	0.000423416789396171	1.33800488180638e-05	0	9.87246241151349e-05	4.24109793543352e-06	2.76019685723986e-06	7.00395373188165e-06	0	0	0	0	0	0	0	0
RG5	0.00326343563393973	0.00345416012990945	0.00285084535483786	0.0128707631869265	0.00473358417283651	0.00130499627143922	0.0619330272146937	0.00180993535070177	0.000794822579851371	0.0984614032002813	0.000224883093862235	9.8285542732767e-05	0.0110479280419165	2.07520544533909e-05	0.000182845155666428	0.00817327821045172	0	8.70263756861695e-05	0.00183497812362018	0	1.46258702392792e-05	0.00324019882267121	0	0	0.00193282129497076	0	0.000710979555710327	0	0.000134283068708838	0.000218665950275363	0	0
RG6	0.0885525158542795	0.0995857760162937	0.0834796151358771	0.0878351107244401	0.0254018344806062	0.0289245926829819	0.0440878460475407	0.00839430253176574	0.00925488459077711	0.0231211535080007	1.10236810716782e-06	3.57401973573698e-06	5.80400737689338e-06	0	4.25221292247507e-06	4.53114436769693e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG7	0.0204601212794519	0.0193900861475793	0.00613723652777594	0.0176692707165472	0.0509735924956219	0.00213262377691908	0.0450345175884388	0.0334455227834417	0.000265761110290861	0.0367504835589942	0.000182993105789858	1.78700986786849e-06	9.43151198745174e-05	2.282725989873e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG8	0.00937369809748646	0.0172708006495472	0.0103937070228464	0.0338675970688743	0.0115825429577098	0.0145244390210833	0.0765155725355372	0.00308087134146528	0.00197352231901176	0.0378318973096536	2.31497302505242e-05	0	0	7.67826014775463e-05	2.83480861498338e-06	4.53114436769693e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG9	0.0115146044530852	0.00248396774282333	0.00834796151358771	0.0172208120689191	0.000672758483172368	0.0114003570379409	0.0359185777950583	2.1437474542999e-05	0.00382400708696294	0.0261737295586425	0	0.000230524272955035	1.88630239749035e-05	6.22561633601727e-06	0.000111974940291844	1.81245774707877e-06	0	0	0	0	0	0	0	0	0	0	0	0	2.00422490610206e-06	0	0	0
