D3C2_Parent	D3C2_R1_T1	D3C2_R2_T1	D3C2_R3_T1	D3C2_R1_T2	D3C2_R2_T2	D3C2_R3_T2	D3C2_R1_T3	D3C2_R2_T3	D3C2_R3_T3	D3C2_R1_T5	D3C2_R2_T5	D3C2_R3_T5	D3C2_R1_T6	D3C2_R2_T6	D3C2_R3_T6	D3C2_R1_T8	D3C2_R2_T8	D3C2_R3_T8	D3C2_R1_T9	D3C2_R2_T9	D3C2_R3_T9	D3C2_R1_T10	D3C2_R2_T10	D3C2_R3_T10	D3C2_R1_T13	D3C2_R3_T13	D3C2_R1_T15	D3C2_R3_T15	D3C2_R3_T17	D3C2_R1_T19	D3C2_R3_T19
RG0	0.00678382219925055	0.0477224199288256	0.0461483848065318	0.0256725091386259	0.297164744459521	0.185513231225808	0.144343680206588	0.497239061840046	0.243177429254345	0.264343897744977	0.927901667391523	0.403583590017658	0.748299488677867	0.929201361050964	0.542850829112306	0.768217760744422	0.975591571128922	0.739369363305963	0.887022464256177	0.982115577820289	0.784007424019797	0.846100773840198	0.992740779428597	0.833254590584718	0.886156245886793	0.992199388072297	0.870233377366799	0.994562197069355	0.992359086711691	0.992223838120432	0.998646030557879	0.998549871262215
RG1	0.00546582245768187	0.030846975088968	0.0629761612189727	0.0385696878807761	0.0376349785165084	0.163554170093576	0.0445085671412619	0.105220005465974	0.489081890808928	0.189773060121368	0.0329162364559713	0.531112667867937	0.193072315558802	0.0167038072812439	0.377923846746018	0.161437940417862	0.00713259356957641	0.228543545564679	0.0863704309215008	0.00428703155750678	0.180430195432902	0.127004339808265	0.00260031781662203	0.157835726172679	0.105795128391002	0.00029977288945223	0.0519301335681785	0	0.00468755343911512	0.00254190539473189	1.10078816432566e-05	0.000537626543390485
RG2	0.0476030494895981	0.120654804270463	0.0439843259332077	0.0307620208079483	0.281490275893261	0.287492307426856	0.0696560057230597	0.189517130860394	0.126476414788349	0.0430824577576277	0.000891960952915307	0.00087567571471388	0.000654492330168006	0.00012625704672142	0.000579172606435604	0.000237746166343068	0	0	0	0	0	0	0	0	0	0	1.46778218112432e-05	0	0	0	0	0
RG3	0.0202351725029074	0.02244128113879	0.0458480107042407	0.0291498734651795	0.0263596788783356	0.041813089164831	0.0613265982691234	0.0221868866307237	0.0276320976442233	0.0607610904758568	0.00835300406030364	0.00854912269932004	0.00926223520818116	0.00721769450424118	0.0118766492337156	0.0106755400662188	0.00101456011740584	0.00335004711266658	0.0032831931595985	0.000357826069005381	0.00169397277122898	0.00166096685306406	7.5009167787174e-05	0.00254562378360082	0.000587390551852441	0	0	0	0	3.13428532026127e-06	0	1.82866171221253e-06
RG4	0.0122884093552139	0.13929537366548	0.16039294393927	0.109822851251289	0.0288755088195387	0.0485020331398927	0.0624585601619207	0.00886978558473502	0.014583260562572	0.0539218064622788	0.000596485054120782	0.000153468939692123	0.00125931336742148	0.000214636979426414	0.000304751670717986	0.00105419230347469	4.71888426700391e-06	0.000425696594427245	1.3432116959199e-05	0	9.94288365721356e-05	4.25888936683092e-06	2.77811732545089e-06	7.05158942825713e-06	0	0	0	0	0	0	0	0
RG5	0.00364388163845458	0.0035729537366548	0.00294912754976653	0.0134501827725185	0.00482318521031208	0.00132858646452214	0.0639242218034618	0.00183544932793361	0.00080588420217464	0.100621573394718	0.000225756866494693	9.93034315654915e-05	0.0111234477720964	2.10428411202367e-05	0.00018631737214512	0.00831097935755088	0	8.74949522142953e-05	0.00184211889726158	0	1.47301980106868e-05	0.00325379147625882	0	0	0.00194683624376511	0	0.000719213268750917	0	0.000134792309193439	0.000219399972418289	0	0
RG6	0.0988758237498385	0.103010676156584	0.0863575544086726	0.09178929609148	0.0258826605608322	0.0294474575686293	0.0455053042992742	0.00851263385425725	0.00938368571015115	0.0236284144757058	1.10665130634653e-06	3.61103387510878e-06	5.84368151935719e-06	0	4.33296214290976e-06	4.6074838438579e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG7	0.0228453288538571	0.0200569395017794	0.00634881625296961	0.0184647108445028	0.051938461103573	0.00217117485003077	0.0464824120603015	0.0339169917265025	0.000269459733234864	0.0375567619242719	0.000183704116853525	1.80551693755439e-06	9.49598246895544e-05	2.31471252322604e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG8	0.0104664685359866	0.017864768683274	0.0107520275251905	0.0353922579435748	0.0118017865219358	0.0147869948064347	0.0789756072026801	0.00312430122487515	0.00200098801902186	0.0386619010909431	2.32396774332772e-05	0	0	7.78585121448758e-05	2.8886414286065e-06	4.6074838438579e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG9	0.0128569582633415	0.00256939501779359	0.00863575544086726	0.0179960633611397	0.000685492989597467	0.0116064393307605	0.0370733877721943	2.17396705508211e-05	0.0038772261615461	0.0267479617819515	0	0.000232911684944516	1.89919649379109e-05	6.31285233607101e-06	0.000114101336429957	1.84299353754316e-06	0	0	0	0	0	0	0	0	0	0	0	0	2.01182551034984e-06	0	0	0
RG10	0.0394624628504975	0.0228825622775801	0.0170803637257311	0.0389164870184647	0.0171443916779738	0.0211538572143395	0.018440727945282	0.00720514795398643	0.00357782645795181	0.00325971129811623	0.000230183471720079	0	2.9218407596786e-06	6.73370915847574e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RG11	0.00581470474221476	0.0269181494661922	1.36533682859561e-05	0.00189333583278658	0.105410447761194	7.47689352328477e-05	0.00036641541038526	0.0715732067877463	6.7364933308716e-05	0.000409710130082966	0.000789042381425079	1.80551693755439e-06	7.74287801314828e-05	0.000313538332691527	0	0	0	0	0	1.37625411155916e-05	0	0	0	0	0	0	0	0	0	0	0	0
RG12	0.0538054012146272	0.0333096085409253	0.0220228830452473	0.0392914050051551	0.00498925825418363	0.00206477290373787	0.0234636725293132	0.000652190116524634	0.000154689846857052	0.00899385614502301	5.53325653173267e-06	0	2.9218407596786e-06	2.10428411202367e-06	2.8886414286065e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
