Barcode	Tpye	Time_annotation	Time point	Days	Alteration	Percentage	Adjusted	Clone	Parent
cna0	Longi	D2C2_55d	0	55	No_alteration	1	100.00%	1	0
cna0	Longi	D2C2_87d	1	87	No_alteration	1	100.00%	1	0
cna1	Longi	D2C2_101d	1	101	3p-	0.8259	83.00%	2	1
cna2	Longi	D2C2_101d	1	101	"3p-,9p-"	0.7815	78.00%	3	2
cna0	Longi	D2C2_115d	2	115	No_alteration	1	100.00%	1	0
cna1	Longi	D2C2_115d	2	115	3p-	0.9738	97.00%	2	1
cna2	Longi	D2C2_115d	2	115	"3p-,9p-"	0.9439	94.00%	3	2
cna3	Longi	D2C2_115d	2	115	"3p-,3q+,9p-"	0.5147	51.00%	4	3
cna4	Longi	D2C2_115d	2	115	"3p-,3q+,9p-,9q+"	0.3744	37.00%	5	4
9	ECB	Selection	3	122	"9p-,9q+"	0.1	10.00%	6	1
6	ECB	Selection	3	122	3p-	0.1	10.00%	7	2
13	ECB	Selection	3	122	"3p-,9p-,9q+,13-"	0.1	10.00%	8	4
11	ECB	Selection	3	122	"3p-,9p-,9q+,4q-,10p+,10q-"	0.1	10.00%	9	4
56	ECB	Selection	3	122	"3p-,9p-,9q+,4p-,10q+"	0.1	10.00%	10	4
1	ECB	Selection	3	122	"3p-,9p-,3q+,9q+"	0.1	10.00%	11	5
39	ECB	Selection	3	122	"3p-,9p-,3q+,9q+,14q-,15+"	0.1	10.00%	12	5
other	ECB	Selection	3	122	"3p-,9p-,3q+,9q+"	0.1	10.00%	13	5
0b	ECB	Selection	3	122	"3p-,9p-,3q+,9q+"	0.1	10.00%	14	5
0a	ECB	Selection	3	122	"3p-,9p-,3q+,9q+,4q-,20q+"	0	0.00%	15	14
9	ECB	Parent_1	4	129	"9p-,9q+"	0.0018	0.18%	6	1
6	ECB	Parent_1	4	129	3p-	0.0244	2.44%	7	2
13	ECB	Parent_1	4	129	"3p-,9p-,9q+,13-"	0.0098	0.98%	8	4
11	ECB	Parent_1	4	129	"3p-,9p-,9q+,4q-,10p+,10q-"	0.0087	0.87%	9	4
56	ECB	Parent_1	4	129	"3p-,9p-,9q+,4p-,10q+"	0.0051	0.51%	10	4
