Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
CEACAM5	ENSG00000105388.14	198.293	0.72	6.856	1.73E-40
CEACAM6	ENSG00000086548.8	137.3	0.32	6.711	3.38E-60
RNU11	ENSG00000270103.3	89.905	0	6.506	2.22E-35
CLDN3	ENSG00000165215.6	110.094	0.36	6.352	3.92E-75
CST1	ENSG00000170373.8	77.355	0	6.292	1.09E-94
OLFM4	ENSG00000102837.6	98.646	0.45	6.103	1.21E-29
REG4	ENSG00000134193.14	90.71	0.45	5.983	3.01E-38
MUC3A	ENSG00000169894.17	72.158	0.32	5.792	9.32E-80
MUC13	ENSG00000173702.7	161.388	1.99	5.763	1.25E-72
CLDN4	ENSG00000189143.9	250.618	3.98	5.659	4.83E-108
PI3	ENSG00000124102.4	85.238	0.75	5.623	3.00E-31
RPPH1	ENSG00000277209.1	135.086	1.79	5.608	1.32E-73
UBD	ENSG00000213886.3	98.281	1.1	5.563	1.32E-91
CLDN7	ENSG00000181885.18	158.429	2.6	5.469	2.09E-125
AOC1	ENSG00000002726.19	53.934	0.48	5.214	8.83E-75
VIL1	ENSG00000127831.10	55.614	0.58	5.163	2.15E-71
CDH17	ENSG00000079112.9	32.316	0.11	4.908	1.03E-46
RNU4-1	ENSG00000200795.1	28.35	0	4.875	2.64E-39
RP11-323N12.5	ENSG00000267601.1	27.97	0	4.856	1.36E-67
PRAP1	ENSG00000165828.13	32.733	0.17	4.85	4.70E-38
DMBT1	ENSG00000187908.15	29.64	0.08	4.826	2.80E-31
UBE2C	ENSG00000175063.16	93.347	2.4	4.794	4.90E-107
CCL20	ENSG00000115009.11	36.121	0.48	4.649	2.80E-47
SERPINB5	ENSG00000206075.13	27.295	0.13	4.646	4.15E-64
LCN2	ENSG00000148346.11	691.914	27.98	4.58	6.20E-27
RRM2	ENSG00000171848.13	55.079	1.4	4.546	4.32E-99
SNORD3A	ENSG00000263934.4	742.938	30.89	4.544	1.74E-44
MYBL2	ENSG00000101057.15	38.276	0.7	4.53	1.08E-111
TFF3	ENSG00000160180.15	133.324	4.93	4.502	4.12E-31
MMP7	ENSG00000137673.8	26.25	0.21	4.493	1.01E-52
IGKV2D-28	ENSG00000242534.2	50.801	1.36	4.456	6.79E-31
IGHG4	ENSG00000211892.3	130.124	5.11	4.424	7.71E-49
TPX2	ENSG00000088325.15	33.855	0.74	4.324	1.09E-122
MISP	ENSG00000099812.8	85.067	3.56	4.238	3.51E-93
